 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 08, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/100In-Zn.dat

 Ion = Indium       [49] , Mass = 100 amu

 Density =  7.1400E+00 g/cm3 = 6.5755E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Zn     30    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Indium       [49] , Mass = 100 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.384E-02  3.093E+00      49 A        27 A        19 A   
  11.00 keV   9.842E-02  3.192E+00      52 A        28 A        20 A   
  12.00 keV   1.028E-01  3.284E+00      55 A        29 A        21 A   
  13.00 keV   1.070E-01  3.369E+00      58 A        31 A        22 A   
  14.00 keV   1.110E-01  3.447E+00      60 A        32 A        23 A   
  15.00 keV   1.149E-01  3.520E+00      63 A        33 A        24 A   
  16.00 keV   1.187E-01  3.589E+00      66 A        34 A        25 A   
  17.00 keV   1.224E-01  3.653E+00      68 A        35 A        26 A   
  18.00 keV   1.259E-01  3.713E+00      71 A        36 A        27 A   
  20.00 keV   1.327E-01  3.824E+00      75 A        39 A        28 A   
  22.50 keV   1.408E-01  3.946E+00      81 A        41 A        30 A   
  25.00 keV   1.484E-01  4.054E+00      87 A        44 A        32 A   
  27.50 keV   1.556E-01  4.150E+00      93 A        46 A        34 A   
  30.00 keV   1.625E-01  4.236E+00      98 A        48 A        36 A   
  32.50 keV   1.692E-01  4.314E+00     104 A        51 A        37 A   
  35.00 keV   1.756E-01  4.385E+00     109 A        53 A        39 A   
  37.50 keV   1.817E-01  4.449E+00     115 A        55 A        41 A   
  40.00 keV   1.877E-01  4.508E+00     120 A        57 A        42 A   
