 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 08, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/100In-isobutane_2.0torr.dat

 Ion = Indium       [49] , Mass = 100 amu

 Density =  6.4690E-06 g/cm3 = 9.3832E+17 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    028.57    082.66   
      H      1    071.43    017.34   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Indium       [49] , Mass = 100 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.301E-01  8.139E+00    2.90 mm   551.93 um   427.07 um  
  11.00 keV   7.657E-01  8.379E+00    3.06 mm   576.72 um   448.80 um  
  12.00 keV   7.998E-01  8.597E+00    3.22 mm   600.52 um   469.81 um  
  13.00 keV   8.324E-01  8.797E+00    3.37 mm   623.48 um   490.18 um  
  14.00 keV   8.638E-01  8.981E+00    3.52 mm   645.69 um   509.99 um  
  15.00 keV   8.942E-01  9.152E+00    3.66 mm   667.25 um   529.30 um  
  16.00 keV   9.235E-01  9.311E+00    3.81 mm   688.23 um   548.17 um  
  17.00 keV   9.519E-01  9.459E+00    3.95 mm   708.68 um   566.62 um  
  18.00 keV   9.795E-01  9.597E+00    4.09 mm   728.65 um   584.70 um  
  20.00 keV   1.032E+00  9.849E+00    4.36 mm   767.77 um   619.88 um  
  22.50 keV   1.095E+00  1.012E+01    4.69 mm   814.79 um   662.23 um  
  25.00 keV   1.154E+00  1.036E+01    5.01 mm   859.85 um   703.07 um  
  27.50 keV   1.211E+00  1.058E+01    5.32 mm   903.27 um   742.61 um  
  30.00 keV   1.265E+00  1.076E+01    5.63 mm   945.30 um   781.03 um  
  32.50 keV   1.316E+00  1.093E+01    5.93 mm   986.12 um   818.47 um  
