 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> July 19, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/134Xe-CH2.dat

 Ion = Xenon        [54] , Mass = 134 amu

 Density =  9.3000E-01 g/cm3 = 1.1978E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    033.33    085.63   
      H      1    066.67    014.37   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Xenon        [54] , Mass = 134 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.948E-01  7.739E+00     220 A        38 A        29 A   
  11.00 keV   9.385E-01  7.991E+00     232 A        40 A        30 A   
  12.00 keV   9.802E-01  8.223E+00     243 A        42 A        32 A   
  13.00 keV   1.020E+00  8.437E+00     254 A        43 A        33 A   
  14.00 keV   1.059E+00  8.635E+00     265 A        45 A        34 A   
  15.00 keV   1.096E+00  8.820E+00     275 A        46 A        36 A   
  16.00 keV   1.132E+00  8.993E+00     285 A        47 A        37 A   
  17.00 keV   1.167E+00  9.156E+00     295 A        49 A        38 A   
  18.00 keV   1.200E+00  9.308E+00     305 A        50 A        39 A   
  20.00 keV   1.265E+00  9.589E+00     324 A        53 A        42 A   
  22.50 keV   1.342E+00  9.900E+00     347 A        56 A        44 A   
  25.00 keV   1.415E+00  1.017E+01     370 A        58 A        47 A   
  27.50 keV   1.484E+00  1.042E+01     392 A        61 A        49 A   
  30.00 keV   1.550E+00  1.064E+01     413 A        64 A        52 A   
  32.50 keV   1.613E+00  1.084E+01     434 A        66 A        54 A   
  35.00 keV   1.674E+00  1.102E+01     454 A        69 A        57 A   
  37.50 keV   1.733E+00  1.118E+01     474 A        71 A        59 A   
  40.00 keV   1.790E+00  1.133E+01     494 A        74 A        61 A   
