 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 01, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/136Xe-Al.dat

 Ion = Xenon        [54] , Mass = 136 amu

 Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Xenon        [54] , Mass = 136 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.249E-01  5.211E+00     103 A        31 A        23 A   
  11.00 keV   4.456E-01  5.382E+00     109 A        32 A        24 A   
  12.00 keV   4.654E-01  5.539E+00     114 A        34 A        25 A   
  13.00 keV   4.844E-01  5.684E+00     120 A        35 A        26 A   
  14.00 keV   5.027E-01  5.819E+00     125 A        36 A        28 A   
  15.00 keV   5.203E-01  5.944E+00     130 A        37 A        29 A   
  16.00 keV   5.374E-01  6.062E+00     135 A        39 A        29 A   
  17.00 keV   5.539E-01  6.172E+00     139 A        40 A        30 A   
  18.00 keV   5.700E-01  6.276E+00     144 A        41 A        31 A   
  20.00 keV   6.008E-01  6.466E+00     153 A        43 A        33 A   
  22.50 keV   6.373E-01  6.678E+00     165 A        46 A        35 A   
  25.00 keV   6.718E-01  6.865E+00     175 A        48 A        37 A   
  27.50 keV   7.045E-01  7.031E+00     186 A        50 A        40 A   
  30.00 keV   7.359E-01  7.181E+00     196 A        53 A        42 A   
  32.50 keV   7.659E-01  7.317E+00     207 A        55 A        43 A   
  35.00 keV   7.948E-01  7.440E+00     217 A        57 A        45 A   
  37.50 keV   8.227E-01  7.553E+00     226 A        59 A        47 A   
  40.00 keV   8.497E-01  7.656E+00     236 A        61 A        49 A   
