 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> December 17, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/143Gd-Cu.dat

 Ion = Gadolinium   [64] , Mass = 143 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Gadolinium   [64] , Mass = 143 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.337E-01  3.714E+00      38 A        18 A        13 A   
  11.00 keV   2.452E-01  3.850E+00      40 A        19 A        14 A   
  12.00 keV   2.561E-01  3.976E+00      42 A        19 A        14 A   
  13.00 keV   2.665E-01  4.093E+00      44 A        20 A        15 A   
  14.00 keV   2.766E-01  4.203E+00      46 A        21 A        15 A   
  15.00 keV   2.863E-01  4.306E+00      48 A        21 A        16 A   
  16.00 keV   2.957E-01  4.402E+00      50 A        22 A        16 A   
  17.00 keV   3.048E-01  4.494E+00      51 A        23 A        17 A   
  18.00 keV   3.136E-01  4.580E+00      53 A        23 A        17 A   
  20.00 keV   3.306E-01  4.741E+00      56 A        25 A        18 A   
  22.50 keV   3.506E-01  4.921E+00      61 A        26 A        19 A   
  25.00 keV   3.696E-01  5.082E+00      64 A        28 A        21 A   
  27.50 keV   3.876E-01  5.228E+00      68 A        29 A        22 A   
  30.00 keV   4.049E-01  5.360E+00      72 A        30 A        23 A   
  32.50 keV   4.214E-01  5.482E+00      76 A        32 A        24 A   
  35.00 keV   4.373E-01  5.593E+00      79 A        33 A        25 A   
  37.50 keV   4.527E-01  5.697E+00      83 A        34 A        26 A   
  40.00 keV   4.675E-01  5.792E+00      86 A        35 A        27 A   
