 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> December 17, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/143Gd-isobutane_10.0torr.dat

 Ion = Gadolinium   [64] , Mass = 143 amu

 Density =  3.2345E-05 g/cm3 = 4.6916E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    028.57    082.66   
      H      1    071.43    017.34   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Gadolinium   [64] , Mass = 143 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.665E+00  8.423E+00  565.12 um    91.85 um    68.19 um  
  11.00 keV   1.747E+00  8.717E+00  593.80 um    95.71 um    71.46 um  
  12.00 keV   1.824E+00  8.989E+00  621.51 um    99.38 um    74.60 um  
  13.00 keV   1.899E+00  9.241E+00  648.39 um   102.90 um    77.64 um  
  14.00 keV   1.970E+00  9.476E+00  674.53 um   106.28 um    80.58 um  
  15.00 keV   2.040E+00  9.695E+00  700.02 um   109.54 um    83.43 um  
  16.00 keV   2.106E+00  9.902E+00  724.91 um   112.69 um    86.21 um  
  17.00 keV   2.171E+00  1.010E+01  749.26 um   115.75 um    88.92 um  
  18.00 keV   2.234E+00  1.028E+01  773.13 um   118.71 um    91.56 um  
  20.00 keV   2.355E+00  1.062E+01  819.56 um   124.49 um    96.68 um  
  22.50 keV   2.498E+00  1.100E+01  875.49 um   131.37 um   102.80 um  
  25.00 keV   2.633E+00  1.134E+01  929.44 um   137.88 um   108.66 um  
  27.50 keV   2.762E+00  1.164E+01  981.70 um   144.09 um   114.29 um  
  30.00 keV   2.884E+00  1.191E+01    1.03 mm   150.04 um   119.73 um  
  32.50 keV   3.002E+00  1.216E+01    1.08 mm   155.76 um   124.99 um  
