 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> December 17, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/143Gd-mylar.dat

 Ion = Gadolinium   [64] , Mass = 143 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    045.45    062.50   
      H      1    036.36    004.20   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Gadolinium   [64] , Mass = 143 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.057E+00  7.292E+00     153 A        30 A        22 A   
  11.00 keV   1.109E+00  7.541E+00     161 A        31 A        23 A   
  12.00 keV   1.158E+00  7.771E+00     168 A        32 A        24 A   
  13.00 keV   1.205E+00  7.984E+00     176 A        34 A        25 A   
  14.00 keV   1.251E+00  8.183E+00     183 A        35 A        26 A   
  15.00 keV   1.295E+00  8.368E+00     190 A        36 A        27 A   
  16.00 keV   1.337E+00  8.542E+00     197 A        37 A        28 A   
  17.00 keV   1.378E+00  8.705E+00     203 A        38 A        29 A   
  18.00 keV   1.418E+00  8.860E+00     210 A        39 A        30 A   
  20.00 keV   1.495E+00  9.144E+00     223 A        41 A        32 A   
  22.50 keV   1.586E+00  9.461E+00     238 A        43 A        34 A   
  25.00 keV   1.671E+00  9.743E+00     253 A        45 A        36 A   
  27.50 keV   1.753E+00  9.995E+00     268 A        47 A        38 A   
  30.00 keV   1.831E+00  1.022E+01     282 A        49 A        39 A   
  32.50 keV   1.906E+00  1.043E+01     296 A        51 A        41 A   
  35.00 keV   1.978E+00  1.062E+01     310 A        53 A        43 A   
  37.50 keV   2.047E+00  1.079E+01     323 A        55 A        45 A   
