 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 01, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/16O-Al.dat

 Ion = Oxygen       [8] , Mass = 16 amu

 Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Oxygen       [8] , Mass = 16 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.572E-01  7.341E-01     230 A       126 A        92 A   
  11.00 keV   4.796E-01  7.264E-01     250 A       135 A        98 A   
  12.00 keV   5.009E-01  7.184E-01     271 A       144 A       105 A   
  13.00 keV   5.213E-01  7.102E-01     291 A       153 A       112 A   
  14.00 keV   5.410E-01  7.019E-01     311 A       162 A       118 A   
  15.00 keV   5.600E-01  6.936E-01     332 A       170 A       125 A   
  16.00 keV   5.784E-01  6.853E-01     352 A       179 A       131 A   
  17.00 keV   5.962E-01  6.771E-01     373 A       187 A       137 A   
  18.00 keV   6.135E-01  6.689E-01     393 A       195 A       143 A   
  20.00 keV   6.466E-01  6.531E-01     434 A       211 A       156 A   
  22.50 keV   6.859E-01  6.341E-01     485 A       230 A       170 A   
  25.00 keV   7.230E-01  6.162E-01     536 A       248 A       185 A   
  27.50 keV   7.583E-01  5.992E-01     586 A       266 A       199 A   
  30.00 keV   7.920E-01  5.832E-01     637 A       283 A       214 A   
  32.50 keV   8.299E-01  5.681E-01     687 A       300 A       227 A   
  35.00 keV   8.856E-01  5.539E-01     737 A       315 A       241 A   
  37.50 keV   9.353E-01  5.404E-01     786 A       330 A       254 A   
  40.00 keV   9.798E-01  5.277E-01     833 A       344 A       267 A   
