 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> December 06, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/17O-C.dat

 Ion = Oxygen       [8] , Mass = 17 amu

 Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Oxygen       [8] , Mass = 17 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.791E-01  1.229E+00     202 A        71 A        52 A   
  11.00 keV   8.171E-01  1.206E+00     220 A        76 A        56 A   
  12.00 keV   8.534E-01  1.184E+00     238 A        81 A        60 A   
  13.00 keV   8.883E-01  1.162E+00     257 A        86 A        64 A   
  14.00 keV   9.218E-01  1.141E+00     275 A        91 A        68 A   
  15.00 keV   9.542E-01  1.120E+00     293 A        95 A        71 A   
  16.00 keV   9.854E-01  1.100E+00     311 A       100 A        75 A   
  17.00 keV   1.016E+00  1.081E+00     329 A       104 A        79 A   
  18.00 keV   1.045E+00  1.063E+00     347 A       109 A        82 A   
  20.00 keV   1.102E+00  1.028E+00     383 A       117 A        89 A   
  22.50 keV   1.169E+00  9.873E-01     428 A       127 A        98 A   
  25.00 keV   1.232E+00  9.504E-01     472 A       137 A       106 A   
  27.50 keV   1.292E+00  9.166E-01     517 A       146 A       114 A   
  30.00 keV   1.349E+00  8.855E-01     561 A       155 A       122 A   
  32.50 keV   1.404E+00  8.567E-01     604 A       164 A       130 A   
  35.00 keV   1.442E+00  8.301E-01     648 A       172 A       138 A   
  37.50 keV   1.459E+00  8.053E-01     691 A       180 A       145 A   
  40.00 keV   1.481E+00  7.822E-01     735 A       188 A       153 A   
