 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> December 08, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/17O-Cu.dat

 Ion = Oxygen       [8] , Mass = 17 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Oxygen       [8] , Mass = 17 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.543E-01  3.658E-01     103 A        89 A        68 A   
  11.00 keV   1.619E-01  3.661E-01     113 A        96 A        73 A   
  12.00 keV   1.691E-01  3.660E-01     122 A       103 A        77 A   
  13.00 keV   1.760E-01  3.654E-01     131 A       110 A        82 A   
  14.00 keV   1.826E-01  3.646E-01     140 A       116 A        87 A   
  15.00 keV   1.890E-01  3.635E-01     149 A       123 A        91 A   
  16.00 keV   1.952E-01  3.621E-01     158 A       130 A        96 A   
  17.00 keV   2.012E-01  3.606E-01     167 A       136 A       100 A   
  18.00 keV   2.071E-01  3.590E-01     177 A       142 A       105 A   
  20.00 keV   2.183E-01  3.555E-01     195 A       155 A       115 A   
  22.50 keV   2.315E-01  3.507E-01     219 A       170 A       126 A   
  25.00 keV   2.440E-01  3.457E-01     242 A       185 A       137 A   
  27.50 keV   2.559E-01  3.405E-01     266 A       199 A       149 A   
  30.00 keV   2.673E-01  3.354E-01     290 A       214 A       160 A   
  32.50 keV   2.782E-01  3.303E-01     314 A       228 A       171 A   
  35.00 keV   2.860E-01  3.253E-01     338 A       242 A       181 A   
  37.50 keV   2.892E-01  3.203E-01     362 A       256 A       192 A   
  40.00 keV   2.916E-01  3.155E-01     387 A       270 A       203 A   
