 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> December 06, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/17O-LiF.dat

 Ion = Oxygen       [8] , Mass = 17 amu

 Density =  2.6350E+00 g/cm3 = 1.2235E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Li      3    050.00    026.76   
      F      9    050.00    073.24   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Oxygen       [8] , Mass = 17 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.382E-01  1.018E+00     223 A        92 A        65 A   
  11.00 keV   3.547E-01  9.992E-01     245 A       100 A        71 A   
  12.00 keV   3.705E-01  9.807E-01     267 A       108 A        76 A   
  13.00 keV   3.856E-01  9.626E-01     289 A       115 A        81 A   
  14.00 keV   4.002E-01  9.452E-01     311 A       123 A        87 A   
  15.00 keV   4.142E-01  9.283E-01     333 A       130 A        92 A   
  16.00 keV   4.278E-01  9.120E-01     356 A       138 A        97 A   
  17.00 keV   4.410E-01  8.963E-01     378 A       145 A       103 A   
  18.00 keV   4.538E-01  8.812E-01     401 A       152 A       108 A   
  20.00 keV   4.783E-01  8.526E-01     447 A       167 A       119 A   
  22.50 keV   5.074E-01  8.196E-01     505 A       184 A       132 A   
  25.00 keV   5.348E-01  7.894E-01     563 A       201 A       146 A   
  27.50 keV   5.609E-01  7.616E-01     622 A       218 A       159 A   
  30.00 keV   5.859E-01  7.361E-01     681 A       235 A       172 A   
  32.50 keV   6.098E-01  7.125E-01     741 A       251 A       186 A   
  35.00 keV   6.190E-01  6.907E-01     801 A       267 A       199 A   
  37.50 keV   6.149E-01  6.703E-01     863 A       283 A       212 A   
  40.00 keV   6.189E-01  6.514E-01     925 A       299 A       225 A   
