 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> December 08, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/17O-isobutane_10.0torr.dat

 Ion = Oxygen       [8] , Mass = 17 amu

 Density =  3.2345E-05 g/cm3 = 4.6916E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    028.57    082.66   
      H      1    071.43    017.34   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Oxygen       [8] , Mass = 17 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.100E+00  1.836E+00    1.05 mm   286.34 um   218.70 um  
  11.00 keV   1.153E+00  1.802E+00    1.14 mm   306.76 um   234.63 um  
  12.00 keV   1.204E+00  1.769E+00    1.24 mm   326.65 um   250.28 um  
  13.00 keV   1.254E+00  1.736E+00    1.33 mm   346.05 um   265.69 um  
  14.00 keV   1.301E+00  1.705E+00    1.42 mm   364.98 um   280.88 um  
  15.00 keV   1.347E+00  1.675E+00    1.51 mm   383.47 um   295.87 um  
  16.00 keV   1.391E+00  1.645E+00    1.60 mm   401.55 um   310.66 um  
  17.00 keV   1.434E+00  1.617E+00    1.70 mm   419.22 um   325.28 um  
  18.00 keV   1.475E+00  1.590E+00    1.79 mm   436.52 um   339.73 um  
  20.00 keV   1.555E+00  1.538E+00    1.97 mm   470.26 um   368.17 um  
  22.50 keV   1.649E+00  1.478E+00    2.20 mm   510.66 um   402.90 um  
  25.00 keV   1.738E+00  1.423E+00    2.42 mm   549.06 um   436.75 um  
  27.50 keV   1.823E+00  1.373E+00    2.64 mm   585.65 um   469.79 um  
  30.00 keV   1.904E+00  1.326E+00    2.87 mm   620.57 um   502.04 um  
