 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> December 08, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/17O-mylar.dat

 Ion = Oxygen       [8] , Mass = 17 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    045.45    062.50   
      H      1    036.36    004.20   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Oxygen       [8] , Mass = 17 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.980E-01  1.325E+00     320 A       112 A        82 A   
  11.00 keV   7.320E-01  1.302E+00     349 A       121 A        89 A   
  12.00 keV   7.646E-01  1.278E+00     378 A       129 A        95 A   
  13.00 keV   7.958E-01  1.256E+00     407 A       137 A       101 A   
  14.00 keV   8.259E-01  1.234E+00     437 A       145 A       107 A   
  15.00 keV   8.548E-01  1.212E+00     466 A       153 A       113 A   
  16.00 keV   8.829E-01  1.192E+00     495 A       160 A       119 A   
  17.00 keV   9.100E-01  1.172E+00     524 A       168 A       125 A   
  18.00 keV   9.364E-01  1.152E+00     554 A       175 A       131 A   
  20.00 keV   9.871E-01  1.115E+00     612 A       189 A       142 A   
  22.50 keV   1.047E+00  1.073E+00     685 A       207 A       156 A   
  25.00 keV   1.104E+00  1.034E+00     758 A       223 A       170 A   
  27.50 keV   1.157E+00  9.980E-01     831 A       239 A       184 A   
  30.00 keV   1.209E+00  9.649E-01     903 A       255 A       197 A   
  32.50 keV   1.258E+00  9.343E-01     976 A       269 A       210 A   
  35.00 keV   1.296E+00  9.058E-01    1048 A       284 A       223 A   
  37.50 keV   1.319E+00  8.793E-01    1120 A       297 A       236 A   
