 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 18, 2017 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/196Au-mylar.dat

 Ion = Gold         [79] , Mass = 196 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    045.45    062.50   
      H      1    036.36    004.20   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Gold         [79] , Mass = 196 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.103E+00  7.278E+00     164 A        29 A        21 A   
  11.00 keV   1.156E+00  7.558E+00     172 A        30 A        22 A   
  12.00 keV   1.208E+00  7.819E+00     180 A        31 A        22 A   
  13.00 keV   1.257E+00  8.062E+00     187 A        32 A        23 A   
  14.00 keV   1.305E+00  8.290E+00     194 A        33 A        24 A   
  15.00 keV   1.350E+00  8.505E+00     201 A        34 A        25 A   
  16.00 keV   1.395E+00  8.708E+00     208 A        35 A        26 A   
  17.00 keV   1.438E+00  8.900E+00     215 A        36 A        27 A   
  18.00 keV   1.479E+00  9.083E+00     221 A        37 A        27 A   
  20.00 keV   1.559E+00  9.422E+00     234 A        39 A        29 A   
  22.50 keV   1.654E+00  9.805E+00     249 A        41 A        31 A   
  25.00 keV   1.743E+00  1.015E+01     264 A        43 A        32 A   
  27.50 keV   1.828E+00  1.046E+01     278 A        44 A        34 A   
  30.00 keV   1.910E+00  1.075E+01     292 A        46 A        35 A   
  32.50 keV   1.988E+00  1.101E+01     305 A        48 A        37 A   
  35.00 keV   2.063E+00  1.126E+01     318 A        50 A        38 A   
  37.50 keV   2.135E+00  1.149E+01     331 A        51 A        40 A   
  40.00 keV   2.205E+00  1.170E+01     343 A        53 A        41 A   
