 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 23, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\Gold in Silicon.txt

 Ion = Gold [79] , Mass = 196.967 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = -6.57%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.998E-01  5.782E+00     121 A        32 A        24 A   
  11.00 keV   6.291E-01  6.010E+00     127 A        34 A        25 A   
  12.00 keV   6.571E-01  6.221E+00     133 A        35 A        26 A   
  13.00 keV   6.839E-01  6.419E+00     138 A        36 A        27 A   
  14.00 keV   7.097E-01  6.604E+00     144 A        37 A        28 A   
  15.00 keV   7.346E-01  6.779E+00     149 A        39 A        28 A   
  16.00 keV   7.587E-01  6.944E+00     154 A        40 A        29 A   
  17.00 keV   7.821E-01  7.101E+00     159 A        41 A        30 A   
  18.00 keV   8.047E-01  7.250E+00     164 A        42 A        31 A   
  20.00 keV   8.483E-01  7.528E+00     173 A        44 A        33 A   
  22.50 keV   8.997E-01  7.841E+00     184 A        46 A        35 A   
  25.00 keV   9.484E-01  8.125E+00     195 A        48 A        37 A   
  27.50 keV   9.947E-01  8.383E+00     205 A        51 A        38 A   
  30.00 keV   1.039E+00  8.620E+00     216 A        53 A        40 A   
  32.50 keV   1.081E+00  8.838E+00     225 A        55 A        42 A   
  35.00 keV   1.122E+00  9.040E+00     235 A        57 A        44 A   
  37.50 keV   1.162E+00  9.228E+00     245 A        58 A        45 A   
  40.00 keV   1.200E+00  9.403E+00     254 A        60 A        47 A   
  45.00 keV   1.272E+00  9.722E+00     272 A        64 A        50 A   
  50.00 keV   1.341E+00  1.000E+01     289 A        67 A        53 A   
