 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 23, 2017 
 ==================================================================

 Disk File Name = SRIM Outputs\Gold in Butane, n-Butane (ICRU-340) (gas).txt

 Ion = Gold [79] , Mass = 196.967 amu

 Target Density =  6.4685E-06 g/cm3 = 9.3829E+17 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.733E+00  8.276E+00    3.04 mm   439.70 um   315.03 um  
  11.00 keV   1.817E+00  8.601E+00    3.19 mm   457.66 um   329.47 um  
  12.00 keV   1.898E+00  8.904E+00    3.33 mm   474.71 um   343.35 um  
  13.00 keV   1.976E+00  9.186E+00    3.47 mm   490.97 um   356.72 um  
  14.00 keV   2.050E+00  9.452E+00    3.60 mm   506.55 um   369.65 um  
  15.00 keV   2.122E+00  9.702E+00    3.73 mm   521.53 um   382.18 um  
  16.00 keV   2.192E+00  9.938E+00    3.85 mm   535.96 um   394.36 um  
  17.00 keV   2.259E+00  1.016E+01    3.97 mm   549.91 um   406.21 um  
  18.00 keV   2.325E+00  1.038E+01    4.09 mm   563.42 um   417.77 um  
  20.00 keV   2.450E+00  1.077E+01    4.32 mm   589.71 um   440.10 um  
  22.50 keV   2.599E+00  1.122E+01    4.60 mm   620.85 um   466.73 um  
  25.00 keV   2.740E+00  1.163E+01    4.86 mm   650.15 um   492.15 um  
  27.50 keV   2.873E+00  1.200E+01    5.12 mm   677.94 um   516.53 um  
  30.00 keV   3.001E+00  1.233E+01    5.37 mm   704.43 um   540.02 um  
  32.50 keV   3.124E+00  1.265E+01    5.61 mm   729.80 um   562.73 um  
