 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> December 08, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/19F-LiF.dat

 Ion = Fluorine     [9] , Mass = 19 amu

 Density =  2.6350E+00 g/cm3 = 1.2235E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Li      3    050.00    026.76   
      F      9    050.00    073.24   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Fluorine     [9] , Mass = 19 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.911E-01  1.226E+00     203 A        83 A        58 A   
  11.00 keV   3.053E-01  1.208E+00     223 A        90 A        63 A   
  12.00 keV   3.189E-01  1.189E+00     242 A        97 A        68 A   
  13.00 keV   3.319E-01  1.171E+00     262 A       104 A        73 A   
  14.00 keV   3.445E-01  1.153E+00     282 A       111 A        78 A   
  15.00 keV   3.565E-01  1.136E+00     302 A       117 A        82 A   
  16.00 keV   3.682E-01  1.118E+00     323 A       124 A        87 A   
  17.00 keV   3.796E-01  1.102E+00     343 A       131 A        92 A   
  18.00 keV   3.906E-01  1.086E+00     364 A       138 A        97 A   
  20.00 keV   4.117E-01  1.055E+00     405 A       151 A       106 A   
  22.50 keV   4.367E-01  1.018E+00     458 A       168 A       118 A   
  25.00 keV   4.603E-01  9.846E-01     511 A       184 A       130 A   
  27.50 keV   4.828E-01  9.534E-01     565 A       200 A       142 A   
  30.00 keV   5.042E-01  9.243E-01     620 A       216 A       154 A   
  32.50 keV   5.248E-01  8.973E-01     675 A       232 A       167 A   
  35.00 keV   5.446E-01  8.720E-01     731 A       247 A       179 A   
  37.50 keV   5.638E-01  8.483E-01     787 A       262 A       191 A   
  40.00 keV   5.946E-01  8.262E-01     843 A       277 A       203 A   
