 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> December 08, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/19F-isobutane_2.0torr.dat

 Ion = Fluorine     [9] , Mass = 19 amu

 Density =  6.4690E-06 g/cm3 = 9.3832E+17 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    028.57    082.66   
      H      1    071.43    017.34   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Fluorine     [9] , Mass = 19 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.464E-01  2.166E+00    4.97 mm     1.36 mm     1.04 mm  
  11.00 keV   9.926E-01  2.135E+00    5.41 mm     1.46 mm     1.11 mm  
  12.00 keV   1.037E+00  2.103E+00    5.85 mm     1.55 mm     1.19 mm  
  13.00 keV   1.079E+00  2.072E+00    6.28 mm     1.65 mm     1.26 mm  
  14.00 keV   1.120E+00  2.041E+00    6.72 mm     1.74 mm     1.33 mm  
  15.00 keV   1.159E+00  2.011E+00    7.16 mm     1.83 mm     1.40 mm  
  16.00 keV   1.197E+00  1.981E+00    7.59 mm     1.92 mm     1.47 mm  
  17.00 keV   1.234E+00  1.952E+00    8.03 mm     2.01 mm     1.55 mm  
  18.00 keV   1.270E+00  1.924E+00    8.47 mm     2.10 mm     1.61 mm  
  20.00 keV   1.338E+00  1.870E+00    9.34 mm     2.27 mm     1.75 mm  
  22.50 keV   1.420E+00  1.806E+00   10.43 mm     2.48 mm     1.92 mm  
  25.00 keV   1.496E+00  1.747E+00   11.52 mm     2.68 mm     2.09 mm  
  27.50 keV   1.569E+00  1.692E+00   12.60 mm     2.87 mm     2.25 mm  
  30.00 keV   1.639E+00  1.641E+00   13.69 mm     3.05 mm     2.41 mm  
