 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> December 08, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/19F-mylar.dat

 Ion = Fluorine     [9] , Mass = 19 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    045.45    062.50   
      H      1    036.36    004.20   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Fluorine     [9] , Mass = 19 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.008E-01  1.581E+00     298 A       104 A        76 A   
  11.00 keV   6.301E-01  1.559E+00     326 A       112 A        82 A   
  12.00 keV   6.581E-01  1.536E+00     353 A       120 A        88 A   
  13.00 keV   6.850E-01  1.514E+00     380 A       128 A        94 A   
  14.00 keV   7.108E-01  1.492E+00     407 A       135 A        99 A   
  15.00 keV   7.358E-01  1.470E+00     434 A       143 A       105 A   
  16.00 keV   7.599E-01  1.449E+00     462 A       150 A       110 A   
  17.00 keV   7.833E-01  1.428E+00     489 A       158 A       116 A   
  18.00 keV   8.060E-01  1.408E+00     517 A       165 A       121 A   
  20.00 keV   8.496E-01  1.369E+00     572 A       179 A       132 A   
  22.50 keV   9.011E-01  1.323E+00     641 A       196 A       146 A   
  25.00 keV   9.499E-01  1.280E+00     710 A       213 A       159 A   
  27.50 keV   9.962E-01  1.240E+00     780 A       229 A       172 A   
  30.00 keV   1.041E+00  1.203E+00     849 A       245 A       185 A   
  32.50 keV   1.083E+00  1.169E+00     919 A       260 A       198 A   
  35.00 keV   1.124E+00  1.136E+00     989 A       275 A       211 A   
  37.50 keV   1.163E+00  1.106E+00    1059 A       290 A       223 A   
