 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 11, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/1H-Al.dat

 Ion = Hydrogen     [1] , Mass = 1 amu

 Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Hydrogen     [1] , Mass = 1 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.807E-01  4.053E-03    1274 A       499 A       469 A   
  11.00 keV   2.935E-01  3.831E-03    1379 A       516 A       492 A   
  12.00 keV   3.055E-01  3.636E-03    1480 A       532 A       513 A   
  13.00 keV   3.167E-01  3.462E-03    1579 A       547 A       532 A   
  14.00 keV   3.272E-01  3.306E-03    1676 A       561 A       551 A   
  15.00 keV   3.370E-01  3.165E-03    1771 A       573 A       568 A   
  16.00 keV   3.462E-01  3.038E-03    1865 A       585 A       584 A   
  17.00 keV   3.548E-01  2.922E-03    1956 A       596 A       600 A   
  18.00 keV   3.629E-01  2.816E-03    2046 A       606 A       615 A   
  20.00 keV   3.777E-01  2.627E-03    2223 A       625 A       643 A   
  22.50 keV   3.936E-01  2.429E-03    2437 A       646 A       675 A   
  25.00 keV   4.072E-01  2.261E-03    2646 A       665 A       705 A   
  27.50 keV   4.187E-01  2.118E-03    2851 A       683 A       733 A   
  30.00 keV   4.285E-01  1.994E-03    3051 A       698 A       758 A   
  32.50 keV   4.368E-01  1.885E-03    3249 A       713 A       783 A   
  35.00 keV   4.437E-01  1.789E-03    3445 A       726 A       806 A   
  37.50 keV   4.496E-01  1.703E-03    3638 A       739 A       828 A   
  40.00 keV   4.544E-01  1.626E-03    3830 A       751 A       849 A   
