 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 11, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/1H-Au.dat

 Ion = Hydrogen     [1] , Mass = 1 amu

 Density =  1.9311E+01 g/cm3 = 5.9040E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Au     79    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Hydrogen     [1] , Mass = 1 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   4.621E-02  8.535E-04     399 A       439 A       338 A   
  11.00 keV   4.813E-02  8.343E-04     438 A       467 A       361 A   
  12.00 keV   4.994E-02  8.158E-04     477 A       494 A       383 A   
  13.00 keV   5.166E-02  7.982E-04     517 A       520 A       405 A   
  14.00 keV   5.331E-02  7.812E-04     556 A       545 A       426 A   
  15.00 keV   5.489E-02  7.650E-04     596 A       569 A       447 A   
  16.00 keV   5.641E-02  7.495E-04     635 A       593 A       467 A   
  17.00 keV   5.787E-02  7.347E-04     675 A       616 A       487 A   
  18.00 keV   5.927E-02  7.205E-04     714 A       638 A       506 A   
  20.00 keV   6.195E-02  6.939E-04     793 A       680 A       544 A   
  22.50 keV   6.507E-02  6.637E-04     892 A       730 A       589 A   
  25.00 keV   6.797E-02  6.364E-04     991 A       777 A       633 A   
  27.50 keV   7.068E-02  6.116E-04    1089 A       822 A       675 A   
  30.00 keV   7.323E-02  5.890E-04    1188 A       864 A       715 A   
  32.50 keV   7.562E-02  5.682E-04    1285 A       905 A       753 A   
  35.00 keV   7.789E-02  5.491E-04    1383 A       943 A       791 A   
  37.50 keV   8.003E-02  5.315E-04    1480 A       980 A       827 A   
  40.00 keV   8.206E-02  5.151E-04    1576 A      1015 A       863 A   
