 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 14, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/20Ne-CD2.dat

 Ion = Neon         [10] , Mass = 20 amu

 Density =  1.0600E+00 g/cm3 = 1.1940E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Neon         [10] , Mass = 20 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.258E-01  1.919E+00     350 A       103 A        77 A   
  11.00 keV   6.564E-01  1.889E+00     382 A       111 A        83 A   
  12.00 keV   6.855E-01  1.859E+00     414 A       119 A        89 A   
  13.00 keV   7.135E-01  1.829E+00     447 A       127 A        94 A   
  14.00 keV   7.405E-01  1.800E+00     479 A       135 A       100 A   
  15.00 keV   7.665E-01  1.772E+00     512 A       143 A       106 A   
  16.00 keV   7.916E-01  1.744E+00     544 A       150 A       112 A   
  17.00 keV   8.160E-01  1.717E+00     577 A       158 A       118 A   
  18.00 keV   8.396E-01  1.691E+00     610 A       166 A       123 A   
  20.00 keV   8.850E-01  1.642E+00     676 A       181 A       135 A   
  22.50 keV   9.387E-01  1.584E+00     759 A       199 A       149 A   
  25.00 keV   9.895E-01  1.530E+00     843 A       217 A       163 A   
  27.50 keV   1.038E+00  1.480E+00     927 A       234 A       177 A   
  30.00 keV   1.084E+00  1.434E+00    1011 A       251 A       191 A   
  32.50 keV   1.128E+00  1.391E+00    1095 A       268 A       205 A   
  35.00 keV   1.171E+00  1.351E+00    1180 A       284 A       219 A   
  37.50 keV   1.212E+00  1.314E+00    1265 A       299 A       232 A   
  40.00 keV   1.252E+00  1.279E+00    1350 A       315 A       246 A   
