 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> July 21, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/20Ne-isobutane_10.0torr.dat

 Ion = Neon         [10] , Mass = 20 amu

 Density =  3.2345E-05 g/cm3 = 4.6916E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    028.57    082.66   
      H      1    071.43    017.34   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Neon         [10] , Mass = 20 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.485E-01  2.451E+00  941.26 um   259.84 um   198.18 um  
  11.00 keV   8.899E-01  2.423E+00    1.02 mm   278.91 um   212.59 um  
  12.00 keV   9.294E-01  2.394E+00    1.11 mm   297.65 um   226.81 um  
  13.00 keV   9.674E-01  2.364E+00    1.19 mm   316.09 um   240.85 um  
  14.00 keV   1.004E+00  2.335E+00    1.27 mm   334.25 um   254.73 um  
  15.00 keV   1.039E+00  2.305E+00    1.35 mm   352.15 um   268.48 um  
  16.00 keV   1.073E+00  2.276E+00    1.44 mm   369.79 um   282.11 um  
  17.00 keV   1.106E+00  2.247E+00    1.52 mm   387.20 um   295.63 um  
  18.00 keV   1.138E+00  2.218E+00    1.60 mm   404.38 um   309.04 um  
  20.00 keV   1.200E+00  2.163E+00    1.77 mm   438.29 um   335.62 um  
  22.50 keV   1.273E+00  2.098E+00    1.97 mm   479.61 um   368.41 um  
  25.00 keV   1.341E+00  2.036E+00    2.18 mm   519.67 um   400.75 um  
  27.50 keV   1.407E+00  1.977E+00    2.39 mm   558.58 um   432.69 um  
  30.00 keV   1.469E+00  1.923E+00    2.60 mm   596.38 um   464.26 um  
