 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 14, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/20Ne-isobutane_11torr.dat

 Ion = Neon         [10] , Mass = 20 amu

 Density =  3.5579E-05 g/cm3 = 5.1607E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    028.57    082.66   
      H      1    071.43    017.34   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Neon         [10] , Mass = 20 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.485E-01  2.451E+00  855.69 um   236.22 um   180.16 um  
  11.00 keV   8.899E-01  2.423E+00  930.52 um   253.55 um   193.27 um  
  12.00 keV   9.294E-01  2.394E+00    1.01 mm   270.59 um   206.19 um  
  13.00 keV   9.674E-01  2.364E+00    1.08 mm   287.36 um   218.95 um  
  14.00 keV   1.004E+00  2.335E+00    1.16 mm   303.86 um   231.58 um  
  15.00 keV   1.039E+00  2.305E+00    1.23 mm   320.13 um   244.08 um  
  16.00 keV   1.073E+00  2.276E+00    1.30 mm   336.17 um   256.46 um  
  17.00 keV   1.106E+00  2.247E+00    1.38 mm   352.00 um   268.75 um  
  18.00 keV   1.138E+00  2.218E+00    1.46 mm   367.61 um   280.95 um  
  20.00 keV   1.200E+00  2.163E+00    1.61 mm   398.44 um   305.11 um  
  22.50 keV   1.273E+00  2.098E+00    1.79 mm   436.00 um   334.92 um  
  25.00 keV   1.341E+00  2.036E+00    1.98 mm   472.43 um   364.32 um  
  27.50 keV   1.407E+00  1.977E+00    2.17 mm   507.80 um   393.36 um  
  30.00 keV   1.469E+00  1.923E+00    2.36 mm   542.17 um   422.05 um  
  32.50 keV   1.529E+00  1.871E+00    2.55 mm   575.59 um   450.43 um  
