 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 14, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/20Ne-isobutane_12.0torr.dat

 Ion = Neon         [10] , Mass = 20 amu

 Density =  3.8814E-05 g/cm3 = 5.6299E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    028.57    082.66   
      H      1    071.43    017.34   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Neon         [10] , Mass = 20 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.485E-01  2.451E+00  784.38 um   216.53 um   165.15 um  
  11.00 keV   8.899E-01  2.423E+00  852.98 um   232.42 um   177.16 um  
  12.00 keV   9.294E-01  2.394E+00  921.56 um   248.04 um   189.01 um  
  13.00 keV   9.674E-01  2.364E+00  990.16 um   263.41 um   200.71 um  
  14.00 keV   1.004E+00  2.335E+00    1.06 mm   278.54 um   212.28 um  
  15.00 keV   1.039E+00  2.305E+00    1.13 mm   293.46 um   223.74 um  
  16.00 keV   1.073E+00  2.276E+00    1.20 mm   308.16 um   235.09 um  
  17.00 keV   1.106E+00  2.247E+00    1.26 mm   322.66 um   246.36 um  
  18.00 keV   1.138E+00  2.218E+00    1.33 mm   336.98 um   257.54 um  
  20.00 keV   1.200E+00  2.163E+00    1.47 mm   365.24 um   279.69 um  
  22.50 keV   1.273E+00  2.098E+00    1.64 mm   399.67 um   307.01 um  
  25.00 keV   1.341E+00  2.036E+00    1.82 mm   433.06 um   333.96 um  
  27.50 keV   1.407E+00  1.977E+00    1.99 mm   465.48 um   360.58 um  
  30.00 keV   1.469E+00  1.923E+00    2.16 mm   496.98 um   386.88 um  
  32.50 keV   1.529E+00  1.871E+00    2.34 mm   527.63 um   412.89 um  
