 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/20Ne-isobutane_5.0torr.dat

 Ion = Neon         [10] , Mass = 20 amu

 Density =  1.6172E-05 g/cm3 = 2.3458E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    028.57    082.66   
      H      1    071.43    017.34   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Neon         [10] , Mass = 20 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.485E-01  2.451E+00    1.88 mm   519.68 um   396.35 um  
  11.00 keV   8.899E-01  2.423E+00    2.05 mm   557.82 um   425.19 um  
  12.00 keV   9.294E-01  2.394E+00    2.21 mm   595.30 um   453.62 um  
  13.00 keV   9.674E-01  2.364E+00    2.38 mm   632.18 um   481.70 um  
  14.00 keV   1.004E+00  2.335E+00    2.54 mm   668.50 um   509.47 um  
  15.00 keV   1.039E+00  2.305E+00    2.71 mm   704.29 um   536.97 um  
  16.00 keV   1.073E+00  2.276E+00    2.87 mm   739.58 um   564.22 um  
  17.00 keV   1.106E+00  2.247E+00    3.04 mm   774.40 um   591.26 um  
  18.00 keV   1.138E+00  2.218E+00    3.20 mm   808.75 um   618.09 um  
  20.00 keV   1.200E+00  2.163E+00    3.53 mm   876.57 um   671.25 um  
  22.50 keV   1.273E+00  2.098E+00    3.95 mm   959.21 um   736.82 um  
  25.00 keV   1.341E+00  2.036E+00    4.36 mm     1.04 mm   801.51 um  
  27.50 keV   1.407E+00  1.977E+00    4.78 mm     1.12 mm   865.39 um  
  30.00 keV   1.469E+00  1.923E+00    5.19 mm     1.19 mm   928.52 um  
