 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/20Ne-mylar.dat

 Ion = Neon         [10] , Mass = 20 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    045.45    062.50   
      H      1    036.36    004.20   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Neon         [10] , Mass = 20 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.386E-01  1.799E+00     280 A        98 A        72 A   
  11.00 keV   5.649E-01  1.779E+00     305 A       106 A        78 A   
  12.00 keV   5.900E-01  1.758E+00     330 A       113 A        83 A   
  13.00 keV   6.141E-01  1.737E+00     356 A       121 A        88 A   
  14.00 keV   6.373E-01  1.715E+00     381 A       128 A        94 A   
  15.00 keV   6.596E-01  1.694E+00     406 A       135 A        99 A   
  16.00 keV   6.813E-01  1.673E+00     432 A       142 A       104 A   
  17.00 keV   7.022E-01  1.652E+00     458 A       149 A       109 A   
  18.00 keV   7.226E-01  1.631E+00     483 A       156 A       115 A   
  20.00 keV   7.617E-01  1.591E+00     535 A       170 A       125 A   
  22.50 keV   8.079E-01  1.543E+00     600 A       187 A       138 A   
  25.00 keV   8.516E-01  1.498E+00     665 A       204 A       150 A   
  27.50 keV   8.931E-01  1.456E+00     731 A       220 A       163 A   
  30.00 keV   9.328E-01  1.416E+00     797 A       236 A       175 A   
  32.50 keV   9.709E-01  1.378E+00     863 A       251 A       188 A   
  35.00 keV   1.008E+00  1.343E+00     930 A       266 A       200 A   
  37.50 keV   1.043E+00  1.309E+00     996 A       281 A       212 A   
  40.00 keV   1.077E+00  1.278E+00    1063 A       296 A       225 A   
