 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 14, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/21Na-CD2.dat

 Ion = Sodium       [11] , Mass = 21 amu

 Density =  1.0600E+00 g/cm3 = 1.1940E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Sodium       [11] , Mass = 21 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.036E-01  2.158E+00     327 A        96 A        72 A   
  11.00 keV   6.330E-01  2.130E+00     357 A       103 A        77 A   
  12.00 keV   6.612E-01  2.101E+00     386 A       111 A        83 A   
  13.00 keV   6.882E-01  2.072E+00     416 A       118 A        88 A   
  14.00 keV   7.141E-01  2.043E+00     446 A       126 A        94 A   
  15.00 keV   7.392E-01  2.015E+00     476 A       133 A        99 A   
  16.00 keV   7.635E-01  1.987E+00     506 A       140 A       104 A   
  17.00 keV   7.870E-01  1.960E+00     536 A       147 A       110 A   
  18.00 keV   8.098E-01  1.934E+00     566 A       154 A       115 A   
  20.00 keV   8.536E-01  1.882E+00     627 A       168 A       126 A   
  22.50 keV   9.054E-01  1.822E+00     704 A       186 A       139 A   
  25.00 keV   9.543E-01  1.765E+00     781 A       202 A       152 A   
  27.50 keV   1.001E+00  1.713E+00     859 A       219 A       165 A   
  30.00 keV   1.045E+00  1.663E+00     937 A       235 A       178 A   
  32.50 keV   1.088E+00  1.617E+00    1015 A       251 A       191 A   
  35.00 keV   1.129E+00  1.574E+00    1094 A       267 A       203 A   
  37.50 keV   1.169E+00  1.533E+00    1173 A       282 A       216 A   
  40.00 keV   1.207E+00  1.494E+00    1252 A       297 A       229 A   
