 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 28, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/21Na-CH2.dat

 Ion = Sodium       [11] , Mass = 21 amu

 Density =  9.3000E-01 g/cm3 = 1.1978E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    033.33    085.63   
      H      1    066.67    014.37   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Sodium       [11] , Mass = 21 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.901E-01  2.587E+00     326 A        94 A        72 A   
  11.00 keV   7.238E-01  2.564E+00     355 A       101 A        77 A   
  12.00 keV   7.560E-01  2.539E+00     383 A       108 A        82 A   
  13.00 keV   7.869E-01  2.513E+00     412 A       115 A        87 A   
  14.00 keV   8.166E-01  2.487E+00     440 A       122 A        92 A   
  15.00 keV   8.452E-01  2.460E+00     469 A       129 A        97 A   
  16.00 keV   8.730E-01  2.433E+00     498 A       135 A       102 A   
  17.00 keV   8.998E-01  2.406E+00     527 A       142 A       107 A   
  18.00 keV   9.259E-01  2.380E+00     555 A       148 A       112 A   
  20.00 keV   9.760E-01  2.327E+00     613 A       161 A       122 A   
  22.50 keV   1.035E+00  2.264E+00     686 A       177 A       134 A   
  25.00 keV   1.091E+00  2.204E+00     759 A       192 A       146 A   
  27.50 keV   1.144E+00  2.146E+00     832 A       207 A       158 A   
  30.00 keV   1.195E+00  2.092E+00     906 A       222 A       170 A   
  32.50 keV   1.244E+00  2.040E+00     980 A       236 A       181 A   
  35.00 keV   1.291E+00  1.992E+00    1054 A       250 A       193 A   
  37.50 keV   1.336E+00  1.945E+00    1129 A       264 A       204 A   
  40.00 keV   1.380E+00  1.901E+00    1203 A       278 A       216 A   
