 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 14, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/21Na-isobutane_11torr.dat

 Ion = Sodium       [11] , Mass = 21 amu

 Density =  3.5579E-05 g/cm3 = 5.1607E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    028.57    082.66   
      H      1    071.43    017.34   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Sodium       [11] , Mass = 21 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.183E-01  2.731E+00  805.82 um   222.80 um   170.56 um  
  11.00 keV   8.582E-01  2.707E+00  875.27 um   239.03 um   182.82 um  
  12.00 keV   8.964E-01  2.681E+00  944.67 um   255.00 um   194.90 um  
  13.00 keV   9.330E-01  2.654E+00    1.01 mm   270.73 um   206.83 um  
  14.00 keV   9.682E-01  2.626E+00    1.08 mm   286.24 um   218.63 um  
  15.00 keV   1.002E+00  2.598E+00    1.15 mm   301.55 um   230.31 um  
  16.00 keV   1.035E+00  2.570E+00    1.22 mm   316.67 um   241.89 um  
  17.00 keV   1.067E+00  2.542E+00    1.29 mm   331.61 um   253.37 um  
  18.00 keV   1.098E+00  2.514E+00    1.36 mm   346.37 um   264.76 um  
  20.00 keV   1.157E+00  2.459E+00    1.50 mm   375.57 um   287.35 um  
  22.50 keV   1.227E+00  2.392E+00    1.68 mm   411.29 um   315.23 um  
  25.00 keV   1.294E+00  2.329E+00    1.85 mm   446.06 um   342.76 um  
  27.50 keV   1.357E+00  2.269E+00    2.03 mm   479.97 um   369.98 um  
  30.00 keV   1.417E+00  2.211E+00    2.20 mm   513.05 um   396.92 um  
  32.50 keV   1.475E+00  2.157E+00    2.38 mm   545.35 um   423.61 um  
