 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 14, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/21Na-isobutane_12.0torr.dat

 Ion = Sodium       [11] , Mass = 21 amu

 Density =  3.8814E-05 g/cm3 = 5.6299E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    028.57    082.66   
      H      1    071.43    017.34   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Sodium       [11] , Mass = 21 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.183E-01  2.731E+00  738.67 um   204.24 um   156.34 um  
  11.00 keV   8.582E-01  2.707E+00  802.33 um   219.11 um   167.58 um  
  12.00 keV   8.964E-01  2.681E+00  865.95 um   233.75 um   178.66 um  
  13.00 keV   9.330E-01  2.654E+00  929.56 um   248.17 um   189.60 um  
  14.00 keV   9.682E-01  2.626E+00  993.19 um   262.39 um   200.41 um  
  15.00 keV   1.002E+00  2.598E+00    1.06 mm   276.42 um   211.12 um  
  16.00 keV   1.035E+00  2.570E+00    1.12 mm   290.28 um   221.73 um  
  17.00 keV   1.067E+00  2.542E+00    1.18 mm   303.97 um   232.25 um  
  18.00 keV   1.098E+00  2.514E+00    1.25 mm   317.50 um   242.70 um  
  20.00 keV   1.157E+00  2.459E+00    1.38 mm   344.28 um   263.41 um  
  22.50 keV   1.227E+00  2.392E+00    1.54 mm   377.01 um   288.96 um  
  25.00 keV   1.294E+00  2.329E+00    1.70 mm   408.89 um   314.19 um  
  27.50 keV   1.357E+00  2.269E+00    1.86 mm   439.97 um   339.15 um  
  30.00 keV   1.417E+00  2.211E+00    2.02 mm   470.29 um   363.85 um  
  32.50 keV   1.475E+00  2.157E+00    2.18 mm   499.91 um   388.31 um  
