 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> July 18, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/21Na-isobutane_5.0torr.dat

 Ion = Sodium       [11] , Mass = 21 amu

 Density =  1.6172E-05 g/cm3 = 2.3458E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    028.57    082.66   
      H      1    071.43    017.34   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Sodium       [11] , Mass = 21 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.183E-01  2.731E+00    1.77 mm   490.17 um   375.23 um  
  11.00 keV   8.582E-01  2.707E+00    1.93 mm   525.86 um   402.20 um  
  12.00 keV   8.964E-01  2.681E+00    2.08 mm   560.99 um   428.79 um  
  13.00 keV   9.330E-01  2.654E+00    2.23 mm   595.60 um   455.04 um  
  14.00 keV   9.682E-01  2.626E+00    2.38 mm   629.73 um   480.99 um  
  15.00 keV   1.002E+00  2.598E+00    2.54 mm   663.41 um   506.69 um  
  16.00 keV   1.035E+00  2.570E+00    2.69 mm   696.67 um   532.15 um  
  17.00 keV   1.067E+00  2.542E+00    2.84 mm   729.53 um   557.41 um  
  18.00 keV   1.098E+00  2.514E+00    3.00 mm   762.01 um   582.48 um  
  20.00 keV   1.157E+00  2.459E+00    3.30 mm   826.26 um   632.17 um  
  22.50 keV   1.227E+00  2.392E+00    3.69 mm   904.83 um   693.50 um  
  25.00 keV   1.294E+00  2.329E+00    4.07 mm   981.34 um   754.06 um  
  27.50 keV   1.357E+00  2.269E+00    4.46 mm     1.06 mm   813.95 um  
  30.00 keV   1.417E+00  2.211E+00    4.85 mm     1.13 mm   873.23 um  
