 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> July 18, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/21Na-mylar.dat

 Ion = Sodium       [11] , Mass = 21 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    045.45    062.50   
      H      1    036.36    004.20   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Sodium       [11] , Mass = 21 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.194E-01  2.015E+00     262 A        92 A        68 A   
  11.00 keV   5.448E-01  1.998E+00     285 A        99 A        73 A   
  12.00 keV   5.690E-01  1.979E+00     308 A       106 A        78 A   
  13.00 keV   5.922E-01  1.959E+00     331 A       113 A        83 A   
  14.00 keV   6.146E-01  1.939E+00     355 A       119 A        88 A   
  15.00 keV   6.362E-01  1.918E+00     378 A       126 A        92 A   
  16.00 keV   6.570E-01  1.898E+00     402 A       133 A        97 A   
  17.00 keV   6.772E-01  1.877E+00     425 A       139 A       102 A   
  18.00 keV   6.969E-01  1.857E+00     449 A       146 A       107 A   
  20.00 keV   7.346E-01  1.816E+00     496 A       159 A       116 A   
  22.50 keV   7.791E-01  1.768E+00     556 A       175 A       128 A   
  25.00 keV   8.213E-01  1.721E+00     616 A       190 A       140 A   
  27.50 keV   8.614E-01  1.677E+00     677 A       206 A       151 A   
  30.00 keV   8.997E-01  1.635E+00     738 A       221 A       163 A   
  32.50 keV   9.364E-01  1.595E+00     799 A       235 A       175 A   
  35.00 keV   9.717E-01  1.557E+00     861 A       250 A       186 A   
  37.50 keV   1.006E+00  1.521E+00     923 A       264 A       197 A   
  40.00 keV   1.039E+00  1.487E+00     985 A       278 A       209 A   
