 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> July 20, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/21Ne-CH2.dat

 Ion = Neon         [10] , Mass = 21 amu

 Density =  9.3000E-01 g/cm3 = 1.1978E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    033.33    085.63   
      H      1    066.67    014.37   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Neon         [10] , Mass = 21 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.983E-01  2.357E+00     348 A        99 A        75 A   
  11.00 keV   7.324E-01  2.331E+00     379 A       106 A        81 A   
  12.00 keV   7.650E-01  2.305E+00     409 A       114 A        86 A   
  13.00 keV   7.962E-01  2.277E+00     440 A       121 A        92 A   
  14.00 keV   8.263E-01  2.250E+00     471 A       128 A        97 A   
  15.00 keV   8.553E-01  2.222E+00     502 A       135 A       102 A   
  16.00 keV   8.833E-01  2.195E+00     533 A       142 A       108 A   
  17.00 keV   9.105E-01  2.168E+00     564 A       149 A       113 A   
  18.00 keV   9.369E-01  2.141E+00     595 A       156 A       118 A   
  20.00 keV   9.876E-01  2.089E+00     657 A       169 A       128 A   
  22.50 keV   1.048E+00  2.027E+00     736 A       185 A       141 A   
  25.00 keV   1.104E+00  1.969E+00     815 A       201 A       154 A   
  27.50 keV   1.158E+00  1.914E+00     894 A       217 A       166 A   
  30.00 keV   1.210E+00  1.862E+00     973 A       232 A       179 A   
  32.50 keV   1.259E+00  1.813E+00    1053 A       247 A       191 A   
  35.00 keV   1.307E+00  1.766E+00    1132 A       262 A       203 A   
  37.50 keV   1.352E+00  1.723E+00    1212 A       276 A       216 A   
  40.00 keV   1.397E+00  1.682E+00    1292 A       290 A       228 A   
