 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> December 11, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/21Ne-LiF.dat

 Ion = Neon         [10] , Mass = 21 amu

 Density =  2.6350E+00 g/cm3 = 1.2235E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Li      3    050.00    026.76   
      F      9    050.00    073.24   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Neon         [10] , Mass = 21 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.547E-01  1.436E+00     187 A        75 A        53 A   
  11.00 keV   2.671E-01  1.419E+00     204 A        81 A        57 A   
  12.00 keV   2.790E-01  1.402E+00     222 A        87 A        62 A   
  13.00 keV   2.904E-01  1.384E+00     240 A        94 A        66 A   
  14.00 keV   3.014E-01  1.366E+00     258 A       100 A        70 A   
  15.00 keV   3.119E-01  1.349E+00     276 A       106 A        74 A   
  16.00 keV   3.222E-01  1.331E+00     295 A       112 A        79 A   
  17.00 keV   3.321E-01  1.314E+00     313 A       118 A        83 A   
  18.00 keV   3.417E-01  1.298E+00     332 A       124 A        87 A   
  20.00 keV   3.602E-01  1.265E+00     369 A       137 A        95 A   
  22.50 keV   3.821E-01  1.227E+00     417 A       152 A       106 A   
  25.00 keV   4.027E-01  1.191E+00     465 A       167 A       117 A   
  27.50 keV   4.224E-01  1.157E+00     515 A       182 A       128 A   
  30.00 keV   4.412E-01  1.125E+00     564 A       197 A       138 A   
  32.50 keV   4.592E-01  1.095E+00     615 A       211 A       149 A   
  35.00 keV   4.765E-01  1.067E+00     666 A       226 A       160 A   
  37.50 keV   4.932E-01  1.040E+00     717 A       241 A       171 A   
  40.00 keV   5.094E-01  1.015E+00     769 A       255 A       182 A   
