 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> December 10, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/21Ne-isobutane_15.0torr.dat

 Ion = Neon         [10] , Mass = 21 amu

 Density =  4.8517E-05 g/cm3 = 7.0374E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    028.57    082.66   
      H      1    071.43    017.34   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Neon         [10] , Mass = 21 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.280E-01  2.489E+00  629.02 um   170.91 um   130.90 um  
  11.00 keV   8.684E-01  2.462E+00  683.79 um   183.41 um   140.39 um  
  12.00 keV   9.070E-01  2.434E+00  738.53 um   195.70 um   149.74 um  
  13.00 keV   9.441E-01  2.405E+00  793.27 um   207.80 um   158.97 um  
  14.00 keV   9.797E-01  2.376E+00  848.04 um   219.71 um   168.11 um  
  15.00 keV   1.014E+00  2.348E+00  902.85 um   231.46 um   177.15 um  
  16.00 keV   1.047E+00  2.319E+00  957.70 um   243.04 um   186.11 um  
  17.00 keV   1.080E+00  2.290E+00    1.01 mm   254.47 um   195.00 um  
  18.00 keV   1.111E+00  2.262E+00    1.07 mm   265.76 um   203.82 um  
  20.00 keV   1.171E+00  2.208E+00    1.18 mm   288.05 um   221.30 um  
  22.50 keV   1.242E+00  2.143E+00    1.32 mm   315.25 um   242.87 um  
  25.00 keV   1.309E+00  2.081E+00    1.45 mm   341.64 um   264.14 um  
  27.50 keV   1.373E+00  2.023E+00    1.59 mm   367.29 um   285.16 um  
  30.00 keV   1.434E+00  1.968E+00    1.73 mm   392.25 um   305.93 um  
  32.50 keV   1.493E+00  1.917E+00    1.87 mm   416.54 um   326.49 um  
