 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> December 11, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/21Ne-mylar.dat

 Ion = Neon         [10] , Mass = 21 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    045.45    062.50   
      H      1    036.36    004.20   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Neon         [10] , Mass = 21 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.256E-01  1.836E+00     280 A        97 A        71 A   
  11.00 keV   5.513E-01  1.816E+00     305 A       104 A        77 A   
  12.00 keV   5.758E-01  1.796E+00     330 A       111 A        82 A   
  13.00 keV   5.993E-01  1.775E+00     355 A       119 A        87 A   
  14.00 keV   6.219E-01  1.754E+00     380 A       126 A        92 A   
  15.00 keV   6.437E-01  1.733E+00     406 A       133 A        97 A   
  16.00 keV   6.648E-01  1.712E+00     431 A       140 A       103 A   
  17.00 keV   6.853E-01  1.691E+00     457 A       147 A       108 A   
  18.00 keV   7.052E-01  1.670E+00     482 A       154 A       113 A   
  20.00 keV   7.433E-01  1.630E+00     533 A       167 A       123 A   
  22.50 keV   7.884E-01  1.583E+00     598 A       184 A       135 A   
  25.00 keV   8.310E-01  1.537E+00     663 A       200 A       148 A   
  27.50 keV   8.716E-01  1.495E+00     729 A       216 A       160 A   
  30.00 keV   9.104E-01  1.455E+00     794 A       232 A       172 A   
  32.50 keV   9.475E-01  1.417E+00     860 A       247 A       185 A   
  35.00 keV   9.833E-01  1.381E+00     927 A       262 A       197 A   
  37.50 keV   1.018E+00  1.347E+00     993 A       277 A       209 A   
  40.00 keV   1.051E+00  1.315E+00    1060 A       291 A       221 A   
