 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> December 05, 2017 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/22Ne-C.dat

 Ion = Neon         [10] , Mass = 22 amu

 Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Neon         [10] , Mass = 22 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   5.732E-01  1.754E+00     178 A        60 A        45 A   
  11.00 keV   6.011E-01  1.734E+00     194 A        65 A        48 A   
  12.00 keV   6.279E-01  1.714E+00     210 A        69 A        52 A   
  13.00 keV   6.535E-01  1.694E+00     225 A        74 A        55 A   
  14.00 keV   6.782E-01  1.673E+00     241 A        78 A        58 A   
  15.00 keV   7.020E-01  1.652E+00     257 A        83 A        61 A   
  16.00 keV   7.250E-01  1.632E+00     273 A        87 A        65 A   
  17.00 keV   7.473E-01  1.611E+00     289 A        91 A        68 A   
  18.00 keV   7.690E-01  1.591E+00     305 A        95 A        71 A   
  20.00 keV   8.106E-01  1.552E+00     337 A       103 A        77 A   
  22.50 keV   8.598E-01  1.506E+00     378 A       113 A        85 A   
  25.00 keV   9.063E-01  1.462E+00     418 A       123 A        93 A   
  27.50 keV   9.505E-01  1.421E+00     459 A       133 A       100 A   
  30.00 keV   9.928E-01  1.382E+00     500 A       142 A       108 A   
  32.50 keV   1.033E+00  1.345E+00     541 A       151 A       115 A   
  35.00 keV   1.072E+00  1.311E+00     582 A       160 A       123 A   
  37.50 keV   1.110E+00  1.278E+00     623 A       169 A       130 A   
  40.00 keV   1.146E+00  1.248E+00     664 A       177 A       137 A   
