 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 15, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/22Ne-CH2.dat

 Ion = Neon         [10] , Mass = 22 amu

 Density =  9.3000E-01 g/cm3 = 1.1978E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    033.33    085.63   
      H      1    066.67    014.37   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Neon         [10] , Mass = 22 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.823E-01  2.392E+00     349 A        98 A        74 A   
  11.00 keV   7.156E-01  2.368E+00     379 A       105 A        80 A   
  12.00 keV   7.474E-01  2.342E+00     410 A       112 A        85 A   
  13.00 keV   7.779E-01  2.315E+00     441 A       119 A        91 A   
  14.00 keV   8.073E-01  2.288E+00     471 A       126 A        96 A   
  15.00 keV   8.356E-01  2.261E+00     502 A       133 A       101 A   
  16.00 keV   8.630E-01  2.235E+00     533 A       140 A       106 A   
  17.00 keV   8.896E-01  2.208E+00     564 A       147 A       112 A   
  18.00 keV   9.154E-01  2.182E+00     595 A       153 A       117 A   
  20.00 keV   9.649E-01  2.130E+00     657 A       166 A       127 A   
  22.50 keV   1.023E+00  2.069E+00     735 A       183 A       139 A   
  25.00 keV   1.079E+00  2.011E+00     814 A       198 A       152 A   
  27.50 keV   1.131E+00  1.956E+00     892 A       214 A       164 A   
  30.00 keV   1.182E+00  1.904E+00     972 A       229 A       177 A   
  32.50 keV   1.230E+00  1.855E+00    1051 A       244 A       189 A   
  35.00 keV   1.276E+00  1.808E+00    1130 A       258 A       201 A   
  37.50 keV   1.321E+00  1.765E+00    1210 A       272 A       213 A   
  40.00 keV   1.365E+00  1.723E+00    1290 A       286 A       225 A   
