 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 14, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/22Ne-Cu.dat

 Ion = Neon         [10] , Mass = 22 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Neon         [10] , Mass = 22 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.136E-01  5.378E-01      89 A        72 A        56 A   
  11.00 keV   1.191E-01  5.408E-01      96 A        78 A        60 A   
  12.00 keV   1.244E-01  5.429E-01     104 A        83 A        64 A   
  13.00 keV   1.295E-01  5.443E-01     112 A        89 A        68 A   
  14.00 keV   1.344E-01  5.451E-01     119 A        94 A        71 A   
  15.00 keV   1.391E-01  5.454E-01     127 A       100 A        75 A   
  16.00 keV   1.436E-01  5.453E-01     134 A       105 A        79 A   
  17.00 keV   1.481E-01  5.448E-01     142 A       110 A        83 A   
  18.00 keV   1.523E-01  5.441E-01     150 A       116 A        87 A   
  20.00 keV   1.606E-01  5.419E-01     165 A       126 A        94 A   
  22.50 keV   1.703E-01  5.382E-01     185 A       140 A       103 A   
  25.00 keV   1.795E-01  5.338E-01     204 A       153 A       112 A   
  27.50 keV   1.883E-01  5.288E-01     224 A       166 A       121 A   
  30.00 keV   1.967E-01  5.236E-01     244 A       179 A       130 A   
  32.50 keV   2.047E-01  5.181E-01     264 A       191 A       139 A   
  35.00 keV   2.124E-01  5.125E-01     284 A       204 A       148 A   
  37.50 keV   2.199E-01  5.069E-01     305 A       216 A       157 A   
  40.00 keV   2.271E-01  5.013E-01     325 A       228 A       166 A   
