 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> December 05, 2017 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/22Ne-S.dat

 Ion = Neon         [10] , Mass = 22 amu

 Density =  2.0686E+00 g/cm3 = 3.8848E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      S     16    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Neon         [10] , Mass = 22 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.259E-01  1.016E+00     277 A       163 A       116 A   
  11.00 keV   2.369E-01  1.015E+00     302 A       175 A       125 A   
  12.00 keV   2.474E-01  1.013E+00     326 A       187 A       133 A   
  13.00 keV   2.575E-01  1.009E+00     351 A       200 A       142 A   
  14.00 keV   2.673E-01  1.005E+00     375 A       212 A       150 A   
  15.00 keV   2.766E-01  1.000E+00     400 A       224 A       158 A   
  16.00 keV   2.857E-01  9.949E-01     424 A       236 A       166 A   
  17.00 keV   2.945E-01  9.893E-01     449 A       248 A       175 A   
  18.00 keV   3.030E-01  9.834E-01     474 A       259 A       183 A   
  20.00 keV   3.194E-01  9.710E-01     524 A       283 A       199 A   
  22.50 keV   3.388E-01  9.549E-01     587 A       312 A       219 A   
  25.00 keV   3.571E-01  9.385E-01     650 A       340 A       239 A   
  27.50 keV   3.746E-01  9.221E-01     714 A       368 A       259 A   
  30.00 keV   3.912E-01  9.060E-01     779 A       396 A       279 A   
  32.50 keV   4.072E-01  8.902E-01     844 A       424 A       299 A   
  35.00 keV   4.226E-01  8.748E-01     910 A       451 A       319 A   
  37.50 keV   4.374E-01  8.599E-01     976 A       479 A       339 A   
  40.00 keV   4.517E-01  8.454E-01    1042 A       505 A       358 A   
