 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> July 15, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/27Al-CH2.dat

 Ion = Aluminum     [13] , Mass = 27 amu

 Density =  9.3000E-01 g/cm3 = 1.1978E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    033.33    085.63   
      H      1    066.67    014.37   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Aluminum     [13] , Mass = 27 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.682E-01  3.228E+00     294 A        79 A        62 A   
  11.00 keV   7.008E-01  3.220E+00     318 A        85 A        66 A   
  12.00 keV   7.320E-01  3.208E+00     342 A        91 A        71 A   
  13.00 keV   7.619E-01  3.194E+00     366 A        96 A        75 A   
  14.00 keV   7.907E-01  3.177E+00     390 A       101 A        79 A   
  15.00 keV   8.184E-01  3.159E+00     414 A       107 A        83 A   
  16.00 keV   8.452E-01  3.139E+00     438 A       112 A        87 A   
  17.00 keV   8.713E-01  3.119E+00     463 A       117 A        91 A   
  18.00 keV   8.965E-01  3.098E+00     487 A       122 A        95 A   
  20.00 keV   9.450E-01  3.054E+00     535 A       132 A       103 A   
  22.50 keV   1.002E+00  2.998E+00     595 A       145 A       113 A   
  25.00 keV   1.057E+00  2.942E+00     656 A       157 A       122 A   
  27.50 keV   1.108E+00  2.886E+00     717 A       169 A       132 A   
  30.00 keV   1.157E+00  2.832E+00     778 A       181 A       141 A   
  32.50 keV   1.205E+00  2.779E+00     840 A       193 A       150 A   
  35.00 keV   1.250E+00  2.728E+00     901 A       205 A       160 A   
  37.50 keV   1.294E+00  2.679E+00     963 A       216 A       169 A   
  40.00 keV   1.336E+00  2.631E+00    1025 A       227 A       178 A   
