 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 15, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/29Si-CH2.dat

 Ion = Silicon      [14] , Mass = 29 amu

 Density =  9.3000E-01 g/cm3 = 1.1978E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    033.33    085.63   
      H      1    066.67    014.37   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Silicon      [14] , Mass = 29 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.027E+00  3.495E+00     267 A        69 A        55 A   
  11.00 keV   1.077E+00  3.495E+00     288 A        74 A        59 A   
  12.00 keV   1.125E+00  3.489E+00     309 A        78 A        62 A   
  13.00 keV   1.171E+00  3.481E+00     330 A        83 A        66 A   
  14.00 keV   1.215E+00  3.469E+00     350 A        87 A        69 A   
  15.00 keV   1.258E+00  3.455E+00     371 A        91 A        72 A   
  16.00 keV   1.299E+00  3.439E+00     391 A        95 A        76 A   
  17.00 keV   1.339E+00  3.422E+00     412 A        99 A        79 A   
  18.00 keV   1.378E+00  3.404E+00     432 A       103 A        82 A   
  20.00 keV   1.452E+00  3.366E+00     472 A       111 A        89 A   
  22.50 keV   1.540E+00  3.315E+00     523 A       121 A        96 A   
  25.00 keV   1.624E+00  3.262E+00     573 A       131 A       104 A   
  27.50 keV   1.703E+00  3.209E+00     623 A       140 A       112 A   
  30.00 keV   1.779E+00  3.157E+00     673 A       149 A       119 A   
  32.50 keV   1.851E+00  3.105E+00     723 A       158 A       126 A   
  35.00 keV   1.921E+00  3.054E+00     773 A       166 A       133 A   
  37.50 keV   1.989E+00  3.005E+00     823 A       175 A       141 A   
  40.00 keV   2.054E+00  2.957E+00     872 A       183 A       148 A   
