 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 15, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/29Si-isobutane_2.0torr.dat

 Ion = Silicon      [14] , Mass = 29 amu

 Density =  6.4690E-06 g/cm3 = 9.3832E+17 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    028.57    082.66   
      H      1    071.43    017.34   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Silicon      [14] , Mass = 29 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.218E+00  3.669E+00    3.63 mm   898.97 um   719.02 um  
  11.00 keV   1.277E+00  3.669E+00    3.91 mm   956.99 um   765.81 um  
  12.00 keV   1.334E+00  3.664E+00    4.19 mm     1.01 mm   811.56 um  
  13.00 keV   1.388E+00  3.655E+00    4.47 mm     1.07 mm   856.39 um  
  14.00 keV   1.441E+00  3.643E+00    4.74 mm     1.12 mm   900.40 um  
  15.00 keV   1.491E+00  3.629E+00    5.02 mm     1.18 mm   943.67 um  
  16.00 keV   1.540E+00  3.613E+00    5.29 mm     1.23 mm   986.28 um  
  17.00 keV   1.588E+00  3.596E+00    5.56 mm     1.28 mm     1.03 mm  
  18.00 keV   1.634E+00  3.577E+00    5.83 mm     1.33 mm     1.07 mm  
  20.00 keV   1.722E+00  3.537E+00    6.37 mm     1.43 mm     1.15 mm  
  22.50 keV   1.826E+00  3.484E+00    7.04 mm     1.56 mm     1.25 mm  
  25.00 keV   1.925E+00  3.430E+00    7.71 mm     1.67 mm     1.35 mm  
  27.50 keV   2.019E+00  3.375E+00    8.37 mm     1.79 mm     1.44 mm  
  30.00 keV   2.109E+00  3.320E+00    9.03 mm     1.90 mm     1.54 mm  
