 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 15, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/29Si-mylar.dat

 Ion = Silicon      [14] , Mass = 29 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    045.45    062.50   
      H      1    036.36    004.20   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Silicon      [14] , Mass = 29 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.729E-01  2.800E+00     211 A        66 A        51 A   
  11.00 keV   8.106E-01  2.799E+00     228 A        70 A        54 A   
  12.00 keV   8.467E-01  2.794E+00     245 A        75 A        58 A   
  13.00 keV   8.812E-01  2.786E+00     262 A        79 A        61 A   
  14.00 keV   9.145E-01  2.777E+00     278 A        83 A        64 A   
  15.00 keV   9.466E-01  2.765E+00     295 A        87 A        67 A   
  16.00 keV   9.776E-01  2.752E+00     311 A        91 A        71 A   
  17.00 keV   1.008E+00  2.738E+00     328 A        96 A        74 A   
  18.00 keV   1.037E+00  2.723E+00     345 A       100 A        77 A   
  20.00 keV   1.093E+00  2.692E+00     378 A       108 A        83 A   
  22.50 keV   1.159E+00  2.650E+00     419 A       117 A        90 A   
  25.00 keV   1.222E+00  2.608E+00     460 A       127 A        98 A   
  27.50 keV   1.282E+00  2.565E+00     501 A       136 A       105 A   
  30.00 keV   1.339E+00  2.522E+00     542 A       145 A       112 A   
  32.50 keV   1.393E+00  2.481E+00     583 A       154 A       119 A   
  35.00 keV   1.446E+00  2.440E+00     624 A       163 A       126 A   
  37.50 keV   1.497E+00  2.400E+00     665 A       172 A       133 A   
  40.00 keV   1.546E+00  2.361E+00     706 A       180 A       140 A   
