 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> April 30, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/30Mg-Au.dat

 Ion = Magnesium    [12] , Mass = 30 amu

 Density =  1.9311E+01 g/cm3 = 5.9040E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Au     79    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Magnesium    [12] , Mass = 30 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.397E-02  2.112E-01      61 A        84 A        63 A   
  11.00 keV   3.562E-02  2.155E-01      66 A        90 A        67 A   
  12.00 keV   3.721E-02  2.193E-01      70 A        95 A        72 A   
  13.00 keV   3.873E-02  2.226E-01      75 A       101 A        76 A   
  14.00 keV   4.019E-02  2.256E-01      79 A       106 A        80 A   
  15.00 keV   4.160E-02  2.283E-01      84 A       111 A        84 A   
  16.00 keV   4.296E-02  2.308E-01      88 A       116 A        88 A   
  17.00 keV   4.429E-02  2.330E-01      93 A       121 A        91 A   
  18.00 keV   4.557E-02  2.350E-01      97 A       126 A        95 A   
  20.00 keV   4.804E-02  2.385E-01     106 A       136 A       103 A   
  22.50 keV   5.095E-02  2.420E-01     117 A       149 A       112 A   
  25.00 keV   5.371E-02  2.449E-01     128 A       161 A       121 A   
  27.50 keV   5.633E-02  2.471E-01     139 A       172 A       131 A   
  30.00 keV   5.883E-02  2.489E-01     150 A       184 A       140 A   
  32.50 keV   6.123E-02  2.504E-01     161 A       196 A       148 A   
  35.00 keV   6.355E-02  2.515E-01     172 A       207 A       157 A   
  37.50 keV   6.578E-02  2.524E-01     182 A       219 A       166 A   
  40.00 keV   6.793E-02  2.530E-01     193 A       230 A       175 A   
