 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> April 30, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/30Mg-Li.dat

 Ion = Magnesium    [12] , Mass = 30 amu

 Density =  5.3400E-01 g/cm3 = 4.6330E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Li      3    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Magnesium    [12] , Mass = 30 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.373E-01  2.416E+00     704 A       163 A       132 A   
  11.00 keV   2.489E-01  2.392E+00     768 A       175 A       142 A   
  12.00 keV   2.599E-01  2.367E+00     832 A       188 A       153 A   
  13.00 keV   2.706E-01  2.341E+00     897 A       201 A       163 A   
  14.00 keV   2.808E-01  2.315E+00     963 A       214 A       174 A   
  15.00 keV   2.906E-01  2.289E+00    1029 A       226 A       184 A   
  16.00 keV   3.002E-01  2.262E+00    1095 A       239 A       194 A   
  17.00 keV   3.094E-01  2.236E+00    1162 A       252 A       204 A   
  18.00 keV   3.184E-01  2.210E+00    1230 A       264 A       215 A   
  20.00 keV   3.356E-01  2.160E+00    1366 A       290 A       236 A   
  22.50 keV   3.559E-01  2.099E+00    1540 A       322 A       262 A   
  25.00 keV   3.752E-01  2.041E+00    1717 A       353 A       288 A   
  27.50 keV   3.935E-01  1.986E+00    1897 A       385 A       315 A   
  30.00 keV   4.110E-01  1.934E+00    2080 A       417 A       341 A   
  32.50 keV   4.278E-01  1.885E+00    2267 A       448 A       368 A   
  35.00 keV   4.439E-01  1.839E+00    2456 A       480 A       395 A   
  37.50 keV   4.595E-01  1.795E+00    2647 A       511 A       423 A   
  40.00 keV   4.746E-01  1.753E+00    2842 A       542 A       450 A   
