 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 15, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/31P-CH2.dat

 Ion = Phosphorus   [15] , Mass = 31 amu

 Density =  9.3000E-01 g/cm3 = 1.1978E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    033.33    085.63   
      H      1    066.67    014.37   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Phosphorus   [15] , Mass = 31 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.880E-01  3.751E+00     263 A        68 A        54 A   
  11.00 keV   9.313E-01  3.758E+00     283 A        72 A        57 A   
  12.00 keV   9.727E-01  3.760E+00     304 A        76 A        61 A   
  13.00 keV   1.012E+00  3.757E+00     324 A        81 A        64 A   
  14.00 keV   1.051E+00  3.750E+00     344 A        85 A        68 A   
  15.00 keV   1.088E+00  3.741E+00     364 A        89 A        71 A   
  16.00 keV   1.123E+00  3.730E+00     384 A        93 A        74 A   
  17.00 keV   1.158E+00  3.717E+00     404 A        97 A        78 A   
  18.00 keV   1.191E+00  3.703E+00     424 A       101 A        81 A   
  20.00 keV   1.256E+00  3.670E+00     463 A       109 A        87 A   
  22.50 keV   1.332E+00  3.625E+00     512 A       119 A        95 A   
  25.00 keV   1.404E+00  3.577E+00     562 A       128 A       102 A   
  27.50 keV   1.473E+00  3.528E+00     611 A       138 A       110 A   
  30.00 keV   1.538E+00  3.478E+00     660 A       147 A       117 A   
  32.50 keV   1.601E+00  3.428E+00     709 A       155 A       124 A   
  35.00 keV   1.661E+00  3.379E+00     758 A       164 A       131 A   
  37.50 keV   1.720E+00  3.330E+00     807 A       173 A       138 A   
  40.00 keV   1.776E+00  3.283E+00     856 A       181 A       145 A   
