 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 15, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/31P-isobutane_2.0torr.dat

 Ion = Phosphorus   [15] , Mass = 31 amu

 Density =  6.4690E-06 g/cm3 = 9.3832E+17 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    028.57    082.66   
      H      1    071.43    017.34   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Phosphorus   [15] , Mass = 31 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.053E+00  3.932E+00    3.59 mm   885.10 um   709.05 um  
  11.00 keV   1.104E+00  3.940E+00    3.86 mm   942.15 um   755.17 um  
  12.00 keV   1.153E+00  3.942E+00    4.14 mm   998.00 um   800.30 um  
  13.00 keV   1.200E+00  3.940E+00    4.41 mm     1.05 mm   844.55 um  
  14.00 keV   1.246E+00  3.934E+00    4.68 mm     1.11 mm   888.03 um  
  15.00 keV   1.289E+00  3.925E+00    4.95 mm     1.16 mm   930.82 um  
  16.00 keV   1.332E+00  3.914E+00    5.21 mm     1.21 mm   972.98 um  
  17.00 keV   1.373E+00  3.901E+00    5.48 mm     1.26 mm     1.01 mm  
  18.00 keV   1.413E+00  3.886E+00    5.75 mm     1.31 mm     1.06 mm  
  20.00 keV   1.489E+00  3.853E+00    6.28 mm     1.41 mm     1.14 mm  
  22.50 keV   1.579E+00  3.806E+00    6.93 mm     1.54 mm     1.24 mm  
  25.00 keV   1.665E+00  3.757E+00    7.59 mm     1.66 mm     1.33 mm  
  27.50 keV   1.746E+00  3.706E+00    8.24 mm     1.77 mm     1.43 mm  
  30.00 keV   1.824E+00  3.655E+00    8.89 mm     1.89 mm     1.52 mm  
