 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> July 15, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/31P-isobutane_5.0torr.dat

 Ion = Phosphorus   [15] , Mass = 31 amu

 Density =  1.6172E-05 g/cm3 = 2.3458E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    028.57    082.66   
      H      1    071.43    017.34   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Phosphorus   [15] , Mass = 31 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.053E+00  3.932E+00    1.43 mm   354.04 um   283.62 um  
  11.00 keV   1.104E+00  3.940E+00    1.54 mm   376.86 um   302.07 um  
  12.00 keV   1.153E+00  3.942E+00    1.65 mm   399.20 um   320.12 um  
  13.00 keV   1.200E+00  3.940E+00    1.76 mm   421.11 um   337.82 um  
  14.00 keV   1.246E+00  3.934E+00    1.87 mm   442.64 um   355.21 um  
  15.00 keV   1.289E+00  3.925E+00    1.98 mm   463.83 um   372.33 um  
  16.00 keV   1.332E+00  3.914E+00    2.09 mm   484.69 um   389.19 um  
  17.00 keV   1.373E+00  3.901E+00    2.19 mm   505.26 um   405.83 um  
  18.00 keV   1.413E+00  3.886E+00    2.30 mm   525.56 um   422.26 um  
  20.00 keV   1.489E+00  3.853E+00    2.51 mm   565.70 um   454.58 um  
  22.50 keV   1.579E+00  3.806E+00    2.77 mm   614.71 um   494.09 um  
  25.00 keV   1.665E+00  3.757E+00    3.04 mm   662.39 um   532.73 um  
  27.50 keV   1.746E+00  3.706E+00    3.30 mm   708.88 um   570.62 um  
  30.00 keV   1.824E+00  3.655E+00    3.56 mm   754.29 um   607.87 um  
