 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 15, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/31P-mylar.dat

 Ion = Phosphorus   [15] , Mass = 31 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    045.45    062.50   
      H      1    036.36    004.20   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Phosphorus   [15] , Mass = 31 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   6.683E-01  3.022E+00     207 A        64 A        49 A   
  11.00 keV   7.009E-01  3.027E+00     223 A        68 A        53 A   
  12.00 keV   7.321E-01  3.027E+00     239 A        72 A        56 A   
  13.00 keV   7.620E-01  3.024E+00     255 A        77 A        59 A   
  14.00 keV   7.908E-01  3.019E+00     272 A        81 A        62 A   
  15.00 keV   8.185E-01  3.011E+00     288 A        85 A        66 A   
  16.00 keV   8.454E-01  3.001E+00     304 A        89 A        69 A   
  17.00 keV   8.714E-01  2.990E+00     320 A        93 A        72 A   
  18.00 keV   8.967E-01  2.978E+00     336 A        97 A        75 A   
  20.00 keV   9.452E-01  2.951E+00     368 A       104 A        81 A   
  22.50 keV   1.002E+00  2.914E+00     408 A       114 A        88 A   
  25.00 keV   1.057E+00  2.874E+00     448 A       123 A        95 A   
  27.50 keV   1.108E+00  2.834E+00     488 A       133 A       102 A   
  30.00 keV   1.158E+00  2.793E+00     528 A       142 A       109 A   
  32.50 keV   1.205E+00  2.752E+00     568 A       151 A       116 A   
  35.00 keV   1.250E+00  2.712E+00     608 A       159 A       123 A   
  37.50 keV   1.294E+00  2.672E+00     648 A       168 A       130 A   
