 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> July 15, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/31S-CH2.dat

 Ion = Sulfur       [16] , Mass = 31 amu

 Density =  9.3000E-01 g/cm3 = 1.1978E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    033.33    085.63   
      H      1    066.67    014.37   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Sulfur       [16] , Mass = 31 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.058E+00  3.957E+00     247 A        64 A        51 A   
  11.00 keV   1.110E+00  3.969E+00     266 A        68 A        54 A   
  12.00 keV   1.159E+00  3.974E+00     285 A        72 A        57 A   
  13.00 keV   1.207E+00  3.975E+00     304 A        76 A        61 A   
  14.00 keV   1.252E+00  3.972E+00     322 A        80 A        64 A   
  15.00 keV   1.296E+00  3.966E+00     341 A        83 A        67 A   
  16.00 keV   1.339E+00  3.957E+00     359 A        87 A        70 A   
  17.00 keV   1.380E+00  3.947E+00     377 A        91 A        73 A   
  18.00 keV   1.420E+00  3.934E+00     395 A        94 A        76 A   
  20.00 keV   1.497E+00  3.905E+00     431 A       101 A        81 A   
  22.50 keV   1.587E+00  3.864E+00     476 A       110 A        88 A   
  25.00 keV   1.673E+00  3.818E+00     521 A       119 A        95 A   
  27.50 keV   1.755E+00  3.771E+00     566 A       127 A       102 A   
  30.00 keV   1.833E+00  3.722E+00     610 A       135 A       108 A   
  32.50 keV   1.908E+00  3.673E+00     654 A       143 A       115 A   
  35.00 keV   1.980E+00  3.625E+00     698 A       151 A       121 A   
  37.50 keV   2.049E+00  3.576E+00     742 A       158 A       128 A   
  40.00 keV   2.117E+00  3.528E+00     786 A       166 A       134 A   
