 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 15, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/32S-CH2.dat

 Ion = Sulfur       [16] , Mass = 32 amu

 Density =  9.3000E-01 g/cm3 = 1.1978E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    033.33    085.63   
      H      1    066.67    014.37   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Sulfur       [16] , Mass = 32 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.042E+00  3.977E+00     249 A        63 A        51 A   
  11.00 keV   1.092E+00  3.990E+00     268 A        67 A        54 A   
  12.00 keV   1.141E+00  3.997E+00     286 A        71 A        57 A   
  13.00 keV   1.188E+00  3.999E+00     305 A        75 A        60 A   
  14.00 keV   1.232E+00  3.998E+00     324 A        79 A        63 A   
  15.00 keV   1.276E+00  3.993E+00     342 A        83 A        66 A   
  16.00 keV   1.318E+00  3.985E+00     360 A        86 A        69 A   
  17.00 keV   1.358E+00  3.975E+00     379 A        90 A        72 A   
  18.00 keV   1.397E+00  3.964E+00     397 A        94 A        75 A   
  20.00 keV   1.473E+00  3.937E+00     433 A       101 A        81 A   
  22.50 keV   1.562E+00  3.897E+00     478 A       109 A        88 A   
  25.00 keV   1.647E+00  3.853E+00     522 A       118 A        95 A   
  27.50 keV   1.727E+00  3.807E+00     567 A       126 A       101 A   
  30.00 keV   1.804E+00  3.760E+00     611 A       134 A       108 A   
  32.50 keV   1.878E+00  3.712E+00     656 A       142 A       114 A   
  35.00 keV   1.949E+00  3.664E+00     700 A       150 A       121 A   
  37.50 keV   2.017E+00  3.616E+00     744 A       157 A       127 A   
  40.00 keV   2.083E+00  3.569E+00     788 A       165 A       133 A   
