 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 15, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/32S-isobutane_10.0torr.dat

 Ion = Sulfur       [16] , Mass = 32 amu

 Density =  3.2345E-05 g/cm3 = 4.6916E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    028.57    082.66   
      H      1    071.43    017.34   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Sulfur       [16] , Mass = 32 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.235E+00  4.166E+00  678.16 um   165.25 um   133.09 um  
  11.00 keV   1.295E+00  4.180E+00  729.23 um   175.59 um   141.55 um  
  12.00 keV   1.353E+00  4.189E+00  779.77 um   185.69 um   149.81 um  
  13.00 keV   1.408E+00  4.192E+00  829.86 um   195.58 um   157.90 um  
  14.00 keV   1.461E+00  4.190E+00  879.56 um   205.28 um   165.84 um  
  15.00 keV   1.513E+00  4.186E+00  928.92 um   214.81 um   173.63 um  
  16.00 keV   1.562E+00  4.179E+00  977.98 um   224.18 um   181.30 um  
  17.00 keV   1.610E+00  4.169E+00    1.03 mm   233.40 um   188.86 um  
  18.00 keV   1.657E+00  4.157E+00    1.08 mm   242.48 um   196.30 um  
  20.00 keV   1.747E+00  4.130E+00    1.17 mm   260.42 um   210.93 um  
  22.50 keV   1.853E+00  4.089E+00    1.29 mm   282.26 um   228.74 um  
  25.00 keV   1.953E+00  4.044E+00    1.41 mm   303.45 um   246.11 um  
  27.50 keV   2.048E+00  3.997E+00    1.53 mm   324.05 um   263.09 um  
  30.00 keV   2.139E+00  3.948E+00    1.65 mm   344.14 um   279.74 um  
  32.50 keV   2.226E+00  3.898E+00    1.76 mm   363.74 um   296.08 um  
