 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 15, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/32S-mylar.dat

 Ion = Sulfur       [16] , Mass = 32 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    045.45    062.50   
      H      1    036.36    004.20   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Sulfur       [16] , Mass = 32 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.840E-01  3.213E+00     195 A        60 A        46 A   
  11.00 keV   8.222E-01  3.223E+00     211 A        63 A        49 A   
  12.00 keV   8.588E-01  3.228E+00     226 A        67 A        52 A   
  13.00 keV   8.939E-01  3.229E+00     241 A        71 A        55 A   
  14.00 keV   9.276E-01  3.227E+00     255 A        75 A        58 A   
  15.00 keV   9.602E-01  3.222E+00     270 A        78 A        61 A   
  16.00 keV   9.917E-01  3.216E+00     285 A        82 A        64 A   
  17.00 keV   1.022E+00  3.207E+00     300 A        86 A        67 A   
  18.00 keV   1.052E+00  3.197E+00     314 A        89 A        70 A   
  20.00 keV   1.109E+00  3.174E+00     344 A        96 A        75 A   
  22.50 keV   1.176E+00  3.141E+00     380 A       105 A        82 A   
  25.00 keV   1.240E+00  3.104E+00     416 A       113 A        88 A   
  27.50 keV   1.300E+00  3.066E+00     453 A       121 A        95 A   
  30.00 keV   1.358E+00  3.027E+00     489 A       129 A       101 A   
  32.50 keV   1.413E+00  2.987E+00     525 A       137 A       107 A   
  35.00 keV   1.467E+00  2.948E+00     561 A       145 A       113 A   
  37.50 keV   1.518E+00  2.909E+00     597 A       153 A       119 A   
