 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> December 08, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/33S-C.dat

 Ion = Sulfur       [16] , Mass = 33 amu

 Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Sulfur       [16] , Mass = 33 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.617E-01  3.085E+00     124 A        37 A        29 A   
  11.00 keV   9.037E-01  3.093E+00     133 A        39 A        31 A   
  12.00 keV   9.439E-01  3.096E+00     143 A        42 A        33 A   
  13.00 keV   9.825E-01  3.095E+00     152 A        44 A        35 A   
  14.00 keV   1.020E+00  3.092E+00     161 A        46 A        37 A   
  15.00 keV   1.055E+00  3.086E+00     171 A        49 A        38 A   
  16.00 keV   1.090E+00  3.078E+00     180 A        51 A        40 A   
  17.00 keV   1.123E+00  3.068E+00     189 A        53 A        42 A   
  18.00 keV   1.156E+00  3.058E+00     199 A        55 A        44 A   
  20.00 keV   1.219E+00  3.033E+00     217 A        59 A        47 A   
  22.50 keV   1.293E+00  2.999E+00     240 A        65 A        51 A   
  25.00 keV   1.362E+00  2.962E+00     262 A        70 A        55 A   
  27.50 keV   1.429E+00  2.923E+00     285 A        75 A        59 A   
  30.00 keV   1.492E+00  2.884E+00     308 A        79 A        63 A   
  32.50 keV   1.553E+00  2.844E+00     330 A        84 A        67 A   
  35.00 keV   1.612E+00  2.805E+00     353 A        89 A        70 A   
  37.50 keV   1.669E+00  2.766E+00     375 A        93 A        74 A   
  40.00 keV   1.723E+00  2.728E+00     398 A        98 A        78 A   
