 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> December 07, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/33S-LiF.dat

 Ion = Sulfur       [16] , Mass = 33 amu

 Density =  2.6350E+00 g/cm3 = 1.2235E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Li      3    050.00    026.76   
      F      9    050.00    073.24   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Sulfur       [16] , Mass = 33 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.741E-01  2.630E+00     127 A        44 A        33 A   
  11.00 keV   3.924E-01  2.636E+00     137 A        47 A        36 A   
  12.00 keV   4.098E-01  2.638E+00     148 A        50 A        38 A   
  13.00 keV   4.265E-01  2.636E+00     158 A        53 A        40 A   
  14.00 keV   4.426E-01  2.633E+00     168 A        56 A        42 A   
  15.00 keV   4.582E-01  2.627E+00     178 A        59 A        45 A   
  16.00 keV   4.732E-01  2.619E+00     189 A        62 A        47 A   
  17.00 keV   4.878E-01  2.611E+00     199 A        65 A        49 A   
  18.00 keV   5.019E-01  2.601E+00     209 A        68 A        51 A   
  20.00 keV   5.291E-01  2.580E+00     230 A        74 A        55 A   
  22.50 keV   5.612E-01  2.549E+00     255 A        81 A        61 A   
  25.00 keV   5.915E-01  2.517E+00     281 A        89 A        66 A   
  27.50 keV   6.204E-01  2.483E+00     307 A        96 A        71 A   
  30.00 keV   6.480E-01  2.449E+00     333 A       103 A        76 A   
  32.50 keV   6.744E-01  2.415E+00     359 A       110 A        81 A   
  35.00 keV   6.999E-01  2.382E+00     386 A       117 A        86 A   
  37.50 keV   7.245E-01  2.348E+00     412 A       124 A        91 A   
  40.00 keV   7.482E-01  2.316E+00     439 A       130 A        96 A   
