 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> December 07, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/33S-isobutane_2.0torr.dat

 Ion = Sulfur       [16] , Mass = 33 amu

 Density =  6.4690E-06 g/cm3 = 9.3832E+17 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    028.57    082.66   
      H      1    071.43    017.34   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Sulfur       [16] , Mass = 33 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.216E+00  4.183E+00    3.41 mm   821.92 um   663.39 um  
  11.00 keV   1.276E+00  4.199E+00    3.67 mm   873.16 um   705.48 um  
  12.00 keV   1.332E+00  4.209E+00    3.92 mm   923.21 um   746.59 um  
  13.00 keV   1.387E+00  4.214E+00    4.17 mm   972.20 um   786.82 um  
  14.00 keV   1.439E+00  4.214E+00    4.42 mm     1.02 mm   826.28 um  
  15.00 keV   1.490E+00  4.210E+00    4.67 mm     1.07 mm   865.05 um  
  16.00 keV   1.538E+00  4.204E+00    4.91 mm     1.11 mm   903.18 um  
  17.00 keV   1.586E+00  4.195E+00    5.16 mm     1.16 mm   940.74 um  
  18.00 keV   1.632E+00  4.185E+00    5.40 mm     1.20 mm   977.78 um  
  20.00 keV   1.720E+00  4.159E+00    5.88 mm     1.29 mm     1.05 mm  
  22.50 keV   1.824E+00  4.120E+00    6.48 mm     1.40 mm     1.14 mm  
  25.00 keV   1.923E+00  4.077E+00    7.08 mm     1.51 mm     1.23 mm  
  27.50 keV   2.017E+00  4.031E+00    7.67 mm     1.61 mm     1.31 mm  
  30.00 keV   2.106E+00  3.983E+00    8.26 mm     1.71 mm     1.39 mm  
