 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> December 07, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/33S-mylar.dat

 Ion = Sulfur       [16] , Mass = 33 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    045.45    062.50   
      H      1    036.36    004.20   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Sulfur       [16] , Mass = 33 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.720E-01  3.236E+00     196 A        59 A        46 A   
  11.00 keV   8.097E-01  3.247E+00     211 A        63 A        49 A   
  12.00 keV   8.457E-01  3.253E+00     226 A        67 A        52 A   
  13.00 keV   8.802E-01  3.255E+00     241 A        70 A        55 A   
  14.00 keV   9.134E-01  3.254E+00     256 A        74 A        58 A   
  15.00 keV   9.455E-01  3.250E+00     271 A        78 A        61 A   
  16.00 keV   9.765E-01  3.244E+00     286 A        81 A        64 A   
  17.00 keV   1.007E+00  3.236E+00     300 A        85 A        66 A   
  18.00 keV   1.036E+00  3.227E+00     315 A        88 A        69 A   
  20.00 keV   1.092E+00  3.205E+00     344 A        95 A        75 A   
  22.50 keV   1.158E+00  3.173E+00     381 A       104 A        81 A   
  25.00 keV   1.221E+00  3.137E+00     417 A       112 A        88 A   
  27.50 keV   1.280E+00  3.100E+00     453 A       120 A        94 A   
  30.00 keV   1.337E+00  3.062E+00     489 A       128 A       100 A   
  32.50 keV   1.392E+00  3.023E+00     525 A       136 A       106 A   
  35.00 keV   1.444E+00  2.984E+00     561 A       143 A       112 A   
  37.50 keV   1.495E+00  2.945E+00     597 A       151 A       118 A   
