 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 03, 2019 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/40Ar-Be.dat

 Ion = Argon        [18] , Mass = 40 amu

 Density =  1.8480E+00 g/cm3 = 1.2349E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Be      4    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Argon        [18] , Mass = 40 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   7.958E-01  3.510E+00     147 A        35 A        29 A   
  11.00 keV   8.346E-01  3.522E+00     158 A        37 A        31 A   
  12.00 keV   8.718E-01  3.528E+00     170 A        39 A        33 A   
  13.00 keV   9.074E-01  3.530E+00     181 A        42 A        34 A   
  14.00 keV   9.416E-01  3.529E+00     192 A        44 A        36 A   
  15.00 keV   9.747E-01  3.525E+00     203 A        46 A        38 A   
  16.00 keV   1.007E+00  3.518E+00     213 A        48 A        40 A   
  17.00 keV   1.038E+00  3.510E+00     224 A        50 A        41 A   
  18.00 keV   1.068E+00  3.500E+00     235 A        52 A        43 A   
  20.00 keV   1.125E+00  3.476E+00     257 A        56 A        46 A   
  22.50 keV   1.194E+00  3.441E+00     283 A        61 A        51 A   
  25.00 keV   1.258E+00  3.402E+00     310 A        65 A        55 A   
  27.50 keV   1.320E+00  3.362E+00     337 A        70 A        59 A   
  30.00 keV   1.378E+00  3.320E+00     363 A        75 A        62 A   
  32.50 keV   1.435E+00  3.277E+00     390 A        79 A        66 A   
  35.00 keV   1.489E+00  3.235E+00     416 A        84 A        70 A   
  37.50 keV   1.541E+00  3.193E+00     443 A        88 A        74 A   
  40.00 keV   1.592E+00  3.151E+00     469 A        92 A        78 A   
