 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 15, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/40Ar-CD2.dat

 Ion = Argon        [18] , Mass = 40 amu

 Density =  1.0600E+00 g/cm3 = 1.1939E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    033.33    085.63   
      H      1    066.67    014.37   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Argon        [18] , Mass = 40 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   9.460E-01  3.948E+00     231 A        54 A        44 A   
  11.00 keV   9.921E-01  3.967E+00     248 A        58 A        47 A   
  12.00 keV   1.036E+00  3.979E+00     265 A        61 A        50 A   
  13.00 keV   1.079E+00  3.986E+00     282 A        64 A        52 A   
  14.00 keV   1.119E+00  3.989E+00     299 A        68 A        55 A   
  15.00 keV   1.159E+00  3.988E+00     316 A        71 A        58 A   
  16.00 keV   1.197E+00  3.985E+00     332 A        74 A        60 A   
  17.00 keV   1.233E+00  3.979E+00     349 A        77 A        63 A   
  18.00 keV   1.269E+00  3.971E+00     365 A        80 A        65 A   
  20.00 keV   1.338E+00  3.951E+00     398 A        86 A        71 A   
  22.50 keV   1.419E+00  3.919E+00     439 A        94 A        77 A   
  25.00 keV   1.496E+00  3.882E+00     479 A       101 A        83 A   
  27.50 keV   1.569E+00  3.843E+00     519 A       108 A        89 A   
  30.00 keV   1.638E+00  3.801E+00     559 A       115 A        94 A   
  32.50 keV   1.705E+00  3.758E+00     599 A       122 A       100 A   
  35.00 keV   1.770E+00  3.715E+00     639 A       129 A       106 A   
  37.50 keV   1.832E+00  3.672E+00     679 A       136 A       111 A   
  40.00 keV   1.892E+00  3.628E+00     719 A       142 A       117 A   
