 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 15, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/40Ar-isobutane_10.0torr.dat

 Ion = Argon        [18] , Mass = 40 amu

 Density =  3.2345E-05 g/cm3 = 4.6916E+18 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    028.57    082.66   
      H      1    071.43    017.34   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Argon        [18] , Mass = 40 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.283E+00  4.680E+00  651.87 um   148.12 um   121.00 um  
  11.00 keV   1.345E+00  4.717E+00  698.60 um   156.88 um   128.41 um  
  12.00 keV   1.405E+00  4.746E+00  744.70 um   165.41 um   135.63 um  
  13.00 keV   1.462E+00  4.769E+00  790.25 um   173.74 um   142.69 um  
  14.00 keV   1.518E+00  4.785E+00  835.33 um   181.90 um   149.59 um  
  15.00 keV   1.571E+00  4.797E+00  880.00 um   189.90 um   156.37 um  
  16.00 keV   1.622E+00  4.805E+00  924.30 um   197.76 um   163.02 um  
  17.00 keV   1.672E+00  4.809E+00  968.27 um   205.49 um   169.56 um  
  18.00 keV   1.721E+00  4.811E+00    1.01 mm   213.09 um   176.01 um  
  20.00 keV   1.814E+00  4.807E+00    1.10 mm   228.10 um   188.63 um  
  22.50 keV   1.924E+00  4.792E+00    1.21 mm   246.37 um   203.96 um  
  25.00 keV   2.028E+00  4.768E+00    1.31 mm   264.07 um   218.87 um  
  27.50 keV   2.127E+00  4.739E+00    1.42 mm   281.28 um   233.42 um  
  30.00 keV   2.221E+00  4.706E+00    1.52 mm   298.05 um   247.64 um  
  32.50 keV   2.312E+00  4.669E+00    1.62 mm   314.42 um   261.57 um  
