 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 15, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/41Ar-CH2.dat

 Ion = Argon        [18] , Mass = 41 amu

 Density =  9.3000E-01 g/cm3 = 1.1978E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    033.33    085.63   
      H      1    066.67    014.37   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Argon        [18] , Mass = 41 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   1.068E+00  4.493E+00     240 A        56 A        46 A   
  11.00 keV   1.121E+00  4.529E+00     257 A        60 A        49 A   
  12.00 keV   1.170E+00  4.557E+00     274 A        63 A        51 A   
  13.00 keV   1.218E+00  4.579E+00     291 A        66 A        54 A   
  14.00 keV   1.264E+00  4.595E+00     308 A        69 A        57 A   
  15.00 keV   1.309E+00  4.607E+00     324 A        72 A        59 A   
  16.00 keV   1.351E+00  4.614E+00     341 A        75 A        62 A   
  17.00 keV   1.393E+00  4.619E+00     357 A        78 A        64 A   
  18.00 keV   1.433E+00  4.621E+00     374 A        81 A        67 A   
  20.00 keV   1.511E+00  4.617E+00     406 A        87 A        72 A   
  22.50 keV   1.603E+00  4.603E+00     446 A        94 A        78 A   
  25.00 keV   1.689E+00  4.581E+00     486 A       101 A        84 A   
  27.50 keV   1.772E+00  4.554E+00     525 A       108 A        89 A   
  30.00 keV   1.851E+00  4.522E+00     564 A       115 A        95 A   
  32.50 keV   1.926E+00  4.487E+00     603 A       121 A       100 A   
  35.00 keV   1.999E+00  4.451E+00     642 A       127 A       106 A   
  37.50 keV   2.069E+00  4.413E+00     680 A       134 A       111 A   
  40.00 keV   2.137E+00  4.374E+00     719 A       140 A       116 A   
