 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> October 15, 2018 
 ==================================================================

 Disk File Name = /home/nicholas/Code/experimental_scripts/srim_files/41Ar-mylar.dat

 Ion = Argon        [18] , Mass = 41 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    045.45    062.50   
      H      1    036.36    004.20   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Argon        [18] , Mass = 41 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   8.041E-01  3.700E+00     186 A        52 A        41 A   
  11.00 keV   8.434E-01  3.728E+00     200 A        55 A        44 A   
  12.00 keV   8.809E-01  3.750E+00     214 A        58 A        47 A   
  13.00 keV   9.168E-01  3.767E+00     227 A        61 A        49 A   
  14.00 keV   9.515E-01  3.778E+00     240 A        65 A        52 A   
  15.00 keV   9.849E-01  3.787E+00     254 A        68 A        54 A   
  16.00 keV   1.017E+00  3.792E+00     267 A        70 A        56 A   
  17.00 keV   1.048E+00  3.794E+00     280 A        73 A        59 A   
  18.00 keV   1.079E+00  3.795E+00     293 A        76 A        61 A   
  20.00 keV   1.137E+00  3.790E+00     319 A        82 A        66 A   
  22.50 keV   1.206E+00  3.776E+00     351 A        89 A        71 A   
  25.00 keV   1.271E+00  3.755E+00     383 A        96 A        77 A   
  27.50 keV   1.333E+00  3.731E+00     414 A       102 A        82 A   
  30.00 keV   1.393E+00  3.703E+00     446 A       109 A        87 A   
  32.50 keV   1.450E+00  3.673E+00     477 A       115 A        92 A   
  35.00 keV   1.504E+00  3.641E+00     509 A       121 A        98 A   
  37.50 keV   1.557E+00  3.608E+00     540 A       128 A       103 A   
  40.00 keV   1.608E+00  3.575E+00     572 A       134 A       108 A   
